time	V(vin)	V(vout)
4.569255016749110e-007	4.260242e+000	4.307450e+000
4.640744066296571e-007	4.060128e+000	3.592559e+000
4.705237885192395e-007	3.672365e+000	2.947621e+000
4.793706900763511e-007	2.947931e+000	2.062931e+000
4.879606571531839e-007	2.156387e+000	1.203934e+000
5.000000000000007e-007	9.907913e-001	5.329071e-015
5.012039342846824e-007	9.049239e-001	1.203934e-001
5.036118028540458e-007	7.857836e-001	3.611803e-001
5.072821775509158e-007	7.233455e-001	7.282178e-001
5.108508737392703e-007	7.792851e-001	1.085087e+000
5.146501444611594e-007	9.414970e-001	1.465014e+000
5.191749127133960e-007	1.224615e+000	1.917491e+000
5.249698389656533e-007	1.673388e+000	2.496984e+000
5.324938491773472e-007	2.332904e+000	3.249385e+000
5.397767409069947e-007	3.017701e+000	3.977674e+000
5.500000000000010e-007	4.010847e+000	5.000000e+000
5.510223259093016e-007	4.087405e+000	4.897768e+000
5.530669777279029e-007	4.194995e+000	4.693302e+000
5.571562813651054e-007	4.255494e+000	4.284372e+000
5.632172520422903e-007	4.100350e+000	3.678275e+000
5.702363076453045e-007	3.688479e+000	2.976369e+000
5.781994134745345e-007	3.050213e+000	2.180059e+000
5.874437076359522e-007	2.214041e+000	1.255629e+000
5.913830727083553e-007	1.834523e+000	8.616927e-001
6.000000000000009e-007	9.889433e-001	0.000000e+000
6.005252486763213e-007	9.438637e-001	5.252487e-002
6.015757460289622e-007	8.676223e-001	1.575746e-001
6.036767407342439e-007	7.658359e-001	3.676741e-001
6.065802361917254e-007	7.133253e-001	6.580236e-001
6.102271262225247e-007	7.579404e-001	1.022713e+000
6.138031288307886e-007	8.959626e-001	1.380313e+000
6.184165548384547e-007	1.170964e+000	1.841655e+000
6.237672992889612e-007	1.573350e+000	2.376730e+000
6.311654987900688e-007	2.214353e+000	3.116550e+000
6.405966886852495e-007	3.097665e+000	4.059669e+000
6.500000000000012e-007	4.010653e+000	5.000000e+000
6.509403311314763e-007	4.082707e+000	4.905967e+000
6.528209933944267e-007	4.187379e+000	4.717901e+000
6.565823179203274e-007	4.256606e+000	4.341768e+000
6.627383347546093e-007	4.120091e+000	3.726166e+000
6.695315897861220e-007	3.738765e+000	3.046841e+000
6.775729794001255e-007	3.104459e+000	2.242702e+000
