time	V(n001)	V(n003)	V(n003)-V(n002)
6.984265017208852e-005	4.999304e+000	5.079620e+000	9.423637e-002
7.077132887711138e-005	4.999749e+000	5.089729e+000	9.501362e-002
7.135498780505434e-005	5.000020e+000	5.091282e+000	9.087276e-002
7.215789650633712e-005	5.000359e+000	5.087795e+000	8.026981e-002
7.299836259581581e-005	5.000652e+000	5.078823e+000	6.513786e-002
7.417023759581581e-005	5.000940e+000	5.059588e+000	3.985310e-002
7.534211259581582e-005	5.001083e+000	5.035882e+000	1.313591e-002
7.651398759581583e-005	5.001074e+000	5.010603e+000	-1.195002e-002
7.768586259581583e-005	5.000932e+000	4.987095e+000	-3.247786e-002
7.885773759581584e-005	5.000691e+000	4.968071e+000	-4.644680e-002
8.002961259581585e-005	5.000393e+000	4.954974e+000	-5.329132e-002
8.095829216018623e-005	5.000143e+000	4.949257e+000	-5.373096e-002
8.154195203946694e-005	4.999989e+000	4.948379e+000	-5.138922e-002
8.234486156036795e-005	4.999797e+000	4.950352e+000	-4.539251e-002
8.318532711477400e-005	4.999631e+000	4.955425e+000	-3.683615e-002
8.435720211477401e-005	4.999469e+000	4.966303e+000	-2.253675e-002
8.552907711477401e-005	4.999388e+000	4.979709e+000	-7.428169e-003
8.670095211477402e-005	4.999393e+000	4.994004e+000	6.757736e-003
8.787282711477403e-005	4.999473e+000	5.007298e+000	1.836681e-002
8.904470211477403e-005	4.999609e+000	5.018056e+000	2.626562e-002
9.021657711477404e-005	4.999777e+000	5.025463e+000	3.013659e-002
9.114525689041010e-005	4.999919e+000	5.028695e+000	3.038502e-002
9.172891700357151e-005	5.000006e+000	5.029192e+000	2.906084e-002
9.253182672597082e-005	5.000115e+000	5.028077e+000	2.567005e-002
9.337229214883164e-005	5.000208e+000	5.025208e+000	2.083111e-002
9.454416714883165e-005	5.000300e+000	5.019056e+000	1.274538e-002
9.571604214883166e-005	5.000346e+000	5.011475e+000	4.200935e-003
9.688791714883166e-005	5.000343e+000	5.003391e+000	-3.821850e-003
9.805979214883167e-005	5.000298e+000	4.995873e+000	-1.038647e-002
9.923166714883168e-005	5.000221e+000	4.989789e+000	-1.485348e-002
1.004035421488317e-004	5.000126e+000	4.985601e+000	-1.704216e-002
1.013322219764074e-004	5.000045e+000	4.983773e+000	-1.718283e-002
1.019158821470687e-004	4.999997e+000	4.983492e+000	-1.643419e-002
1.027187919190073e-004	4.999935e+000	4.984122e+000	-1.451683e-002
1.035592573095276e-004	4.999882e+000	4.985745e+000	-1.178026e-002
1.047311323095276e-004	4.999830e+000	4.989223e+000	-7.207870e-003
1.059030073095276e-004	4.999804e+000	4.993511e+000	-2.376080e-003
1.070748823095276e-004	4.999806e+000	4.998082e+000	2.161026e-003
1.082467573095276e-004	4.999831e+000	5.002334e+000	5.873203e-003
1.094186323095276e-004	4.999875e+000	5.005774e+000	8.399963e-003
1.105905073095276e-004	4.999929e+000	5.008143e+000	9.637833e-003
1.115191871498709e-004	4.999974e+000	5.009177e+000	9.716988e-003
1.121028473346661e-004	5.000002e+000	5.009336e+000	9.293556e-003
1.129057571187803e-004	5.000037e+000	5.008979e+000	8.209229e-003
1.137462225013507e-004	5.000067e+000	5.008061e+000	6.661892e-003
1.149180975013507e-004	5.000096e+000	5.006094e+000	4.075527e-003
1.160899725013507e-004	5.000111e+000	5.003670e+000	1.343250e-003
1.172618475013507e-004	5.000110e+000	5.001084e+000	-1.222610e-003
1.184337225013507e-004	5.000095e+000	4.998680e+000	-3.321648e-003
1.196055975013507e-004	5.000071e+000	4.996735e+000	-4.750252e-003
1.207774725013507e-004	5.000040e+000	4.995395e+000	-5.450249e-003
1.217061523448358e-004	5.000014e+000	4.994811e+000	-5.495071e-003
1.222898125331089e-004	4.999999e+000	4.994720e+000	-5.255699e-003
1.230927223202200e-004	4.999979e+000	4.994922e+000	-4.642487e-003
1.239331877008287e-004	4.999962e+000	4.995441e+000	-3.767490e-003
1.251050627008287e-004	4.999946e+000	4.996554e+000	-2.304554e-003
1.262769377008287e-004	4.999938e+000	4.997925e+000	-7.596016e-004
1.274488127008287e-004	4.999938e+000	4.999387e+000	6.909370e-004
1.286206877008287e-004	4.999946e+000	5.000746e+000	1.878262e-003
1.297925627008287e-004	4.999960e+000	5.001847e+000	2.686501e-003
1.309644377008288e-004	4.999977e+000	5.002604e+000	3.082275e-003
1.318931175450822e-004	4.999992e+000	5.002935e+000	3.107548e-003
1.324767777342037e-004	5.000001e+000	5.002985e+000	2.972126e-003
1.332796875220503e-004	5.000012e+000	5.002872e+000	2.625465e-003
1.341201529021820e-004	5.000021e+000	5.002578e+000	2.130508e-003
1.352920279021820e-004	5.000031e+000	5.001949e+000	1.303196e-003
1.364639029021820e-004	5.000035e+000	5.001173e+000	4.296303e-004
1.376357779021820e-004	5.000035e+000	5.000347e+000	-3.910065e-004
1.388076529021820e-004	5.000031e+000	4.999578e+000	-1.061916e-003
1.399795279021821e-004	5.000022e+000	4.998956e+000	-1.519203e-003
1.411514029021821e-004	5.000013e+000	4.998527e+000	-1.743317e-003
1.420800827466368e-004	5.000005e+000	4.998341e+000	-1.757145e-003
1.426637429359842e-004	5.000000e+000	4.998312e+000	-1.680851e-003
1.434666527240259e-004	4.999993e+000	4.998376e+000	-1.484394e-003
1.443071181040380e-004	4.999988e+000	4.998542e+000	-1.204491e-003
1.454789931040380e-004	4.999983e+000	4.998898e+000	-7.367134e-004
1.466508681040380e-004	4.999980e+000	4.999336e+000	-2.431870e-004
1.478227431040380e-004	4.999980e+000	4.999804e+000	2.207756e-004
1.489946181040380e-004	4.999983e+000	5.000238e+000	6.008148e-004
1.501664931040380e-004	4.999988e+000	5.000590e+000	8.587837e-004
1.513383681040381e-004	4.999993e+000	5.000833e+000	9.856224e-004
1.528507081378951e-004	5.000000e+000	5.000955e+000	9.503365e-004
1.536536179259556e-004	5.000004e+000	5.000918e+000	8.397102e-004
1.544940833059397e-004	5.000007e+000	5.000824e+000	6.814003e-004
1.556659583059397e-004	5.000010e+000	5.000623e+000	4.167557e-004
1.568378333059397e-004	5.000011e+000	5.000375e+000	1.373291e-004
1.580097083059397e-004	5.000011e+000	5.000111e+000	-1.249313e-004
1.591815833059397e-004	5.000010e+000	4.999865e+000	-3.395081e-004
1.603534583059397e-004	5.000007e+000	4.999666e+000	-4.854202e-004
1.615253333059397e-004	5.000004e+000	4.999529e+000	-5.574226e-004
1.630376733398880e-004	5.000000e+000	4.999460e+000	-5.373955e-004
1.638405831280017e-004	4.999998e+000	4.999481e+000	-4.749298e-004
1.646810485079755e-004	4.999996e+000	4.999534e+000	-3.857613e-004
1.658529235079755e-004	4.999994e+000	4.999648e+000	-2.360344e-004
1.670247985079755e-004	4.999993e+000	4.999788e+000	-7.772446e-005
1.681966735079755e-004	4.999993e+000	4.999937e+000	7.057190e-005
1.693685485079755e-004	4.999994e+000	5.000076e+000	1.921654e-004
1.705404235079756e-004	4.999996e+000	5.000189e+000	2.746582e-004
1.732246385417587e-004	5.000000e+000	5.000306e+000	3.042221e-004
1.740275483297569e-004	5.000001e+000	5.000294e+000	2.684593e-004
1.748680137097812e-004	5.000002e+000	5.000264e+000	2.179146e-004
1.760398887097812e-004	5.000003e+000	5.000199e+000	1.335144e-004
1.772117637097812e-004	5.000004e+000	5.000120e+000	4.434586e-005
1.783836387097812e-004	5.000004e+000	5.000035e+000	-4.005432e-005
1.795555137097812e-004	5.000003e+000	4.999957e+000	-1.082420e-004
1.807273887097812e-004	5.000002e+000	4.999893e+000	-1.554489e-004
