v1	V(n002)	I(R1)
1.130000000000001e+000	6.932487e-001	-4.367513e-003
1.140000000000001e+000	6.938022e-001	-4.461978e-003
1.150000000000001e+000	6.943447e-001	-4.556553e-003
1.160000000000001e+000	6.948767e-001	-4.651234e-003
1.170000000000001e+000	6.953984e-001	-4.746016e-003
1.180000000000001e+000	6.959104e-001	-4.840896e-003
1.190000000000001e+000	6.964130e-001	-4.935870e-003
1.200000000000001e+000	6.969064e-001	-5.030936e-003
1.210000000000001e+000	6.973910e-001	-5.126090e-003
1.220000000000001e+000	6.978672e-001	-5.221328e-003
1.230000000000001e+000	6.983351e-001	-5.316649e-003
1.240000000000001e+000	6.987951e-001	-5.412049e-003
1.250000000000001e+000	6.992474e-001	-5.507526e-003
1.260000000000001e+000	6.996923e-001	-5.603077e-003
1.270000000000001e+000	7.001300e-001	-5.698700e-003
1.280000000000001e+000	7.005607e-001	-5.794393e-003
1.290000000000001e+000	7.009847e-001	-5.890153e-003
1.300000000000001e+000	7.014021e-001	-5.985979e-003
1.310000000000001e+000	7.018131e-001	-6.081869e-003
1.320000000000001e+000	7.022180e-001	-6.177820e-003
1.330000000000001e+000	7.026169e-001	-6.273831e-003
1.340000000000001e+000	7.030100e-001	-6.369900e-003
1.350000000000001e+000	7.033973e-001	-6.466026e-003
1.360000000000001e+000	7.037792e-001	-6.562207e-003
1.370000000000001e+000	7.041558e-001	-6.658442e-003
1.380000000000001e+000	7.045271e-001	-6.754728e-003
1.390000000000001e+000	7.048934e-001	-6.851066e-003
1.400000000000001e+000	7.052548e-001	-6.947452e-003
1.410000000000001e+000	7.056113e-001	-7.043886e-003
1.420000000000001e+000	7.059632e-001	-7.140368e-003
1.430000000000001e+000	7.063105e-001	-7.236895e-003
1.440000000000001e+000	7.066534e-001	-7.333466e-003
1.450000000000001e+000	7.069919e-001	-7.430081e-003
1.460000000000001e+000	7.073262e-001	-7.526738e-003
1.470000000000001e+000	7.076564e-001	-7.623436e-003
1.480000000000001e+000	7.079825e-001	-7.720174e-003
1.490000000000001e+000	7.083048e-001	-7.816953e-003
1.500000000000001e+000	7.086232e-001	-7.913768e-003
1.510000000000001e+000	7.089378e-001	-8.010622e-003
1.520000000000001e+000	7.092487e-001	-8.107512e-003
1.530000000000001e+000	7.095562e-001	-8.204439e-003
1.540000000000001e+000	7.098600e-001	-8.301400e-003
1.550000000000001e+000	7.101605e-001	-8.398395e-003
1.560000000000001e+000	7.104576e-001	-8.495424e-003
1.570000000000001e+000	7.107514e-001	-8.592485e-003
1.580000000000001e+000	7.110420e-001	-8.689580e-003
1.590000000000001e+000	7.113295e-001	-8.786704e-003
1.600000000000001e+000	7.116140e-001	-8.883860e-003
1.610000000000001e+000	7.118954e-001	-8.981046e-003
1.620000000000001e+000	7.121739e-001	-9.078261e-003
1.630000000000001e+000	7.124494e-001	-9.175505e-003
1.640000000000001e+000	7.127222e-001	-9.272778e-003
1.650000000000001e+000	7.129922e-001	-9.370078e-003
1.660000000000001e+000	7.132595e-001	-9.467405e-003
1.670000000000001e+000	7.135241e-001	-9.564759e-003
1.680000000000001e+000	7.137861e-001	-9.662139e-003
1.690000000000001e+000	7.140455e-001	-9.759544e-003
1.700000000000001e+000	7.143025e-001	-9.856976e-003
1.710000000000001e+000	7.145569e-001	-9.954431e-003
1.720000000000001e+000	7.148090e-001	-1.005191e-002
1.730000000000001e+000	7.150587e-001	-1.014941e-002
1.740000000000001e+000	7.153060e-001	-1.024694e-002
1.750000000000001e+000	7.155511e-001	-1.034449e-002
1.760000000000001e+000	7.157939e-001	-1.044206e-002
1.770000000000001e+000	7.160345e-001	-1.053965e-002
1.780000000000001e+000	7.162730e-001	-1.063727e-002
1.790000000000001e+000	7.165093e-001	-1.073491e-002
1.800000000000001e+000	7.167435e-001	-1.083256e-002
1.810000000000001e+000	7.169757e-001	-1.093024e-002
1.820000000000001e+000	7.172059e-001	-1.102794e-002
1.830000000000001e+000	7.174340e-001	-1.112566e-002
1.840000000000001e+000	7.176602e-001	-1.122340e-002
1.850000000000001e+000	7.178846e-001	-1.132115e-002
1.860000000000001e+000	7.181070e-001	-1.141893e-002
1.870000000000001e+000	7.183276e-001	-1.151672e-002
1.880000000000001e+000	7.185463e-001	-1.161454e-002
1.890000000000002e+000	7.187633e-001	-1.171237e-002
1.900000000000002e+000	7.189785e-001	-1.181022e-002
1.910000000000002e+000	7.191919e-001	-1.190808e-002
1.920000000000002e+000	7.194036e-001	-1.200596e-002
1.930000000000002e+000	7.196137e-001	-1.210386e-002
1.940000000000002e+000	7.198221e-001	-1.220178e-002
1.950000000000002e+000	7.200289e-001	-1.229971e-002
1.960000000000002e+000	7.202340e-001	-1.239766e-002
1.970000000000002e+000	7.204376e-001	-1.249562e-002
1.980000000000002e+000	7.206396e-001	-1.259360e-002
1.990000000000002e+000	7.208401e-001	-1.269160e-002
2.000000000000001e+000	7.210391e-001	-1.278961e-002
2.010000000000001e+000	7.212366e-001	-1.288763e-002
2.020000000000001e+000	7.214326e-001	-1.298567e-002
2.030000000000001e+000	7.216272e-001	-1.308373e-002
2.040000000000001e+000	7.218203e-001	-1.318180e-002
2.050000000000000e+000	7.220120e-001	-1.327988e-002
2.060000000000000e+000	7.222024e-001	-1.337798e-002
2.070000000000000e+000	7.223914e-001	-1.347609e-002
2.080000000000000e+000	7.225791e-001	-1.357421e-002
2.089999999999999e+000	7.227654e-001	-1.367235e-002
2.099999999999999e+000	7.229504e-001	-1.377050e-002
2.109999999999999e+000	7.231341e-001	-1.386866e-002
2.119999999999999e+000	7.233166e-001	-1.396683e-002
2.129999999999999e+000	7.234977e-001	-1.406502e-002
2.139999999999998e+000	7.236777e-001	-1.416322e-002
2.149999999999998e+000	7.238564e-001	-1.426144e-002
2.159999999999998e+000	7.240340e-001	-1.435966e-002
2.169999999999998e+000	7.242103e-001	-1.445790e-002
2.179999999999998e+000	7.243855e-001	-1.455615e-002
2.189999999999997e+000	7.245595e-001	-1.465441e-002
2.199999999999997e+000	7.247324e-001	-1.475268e-002
2.209999999999997e+000	7.249041e-001	-1.485096e-002
2.219999999999997e+000	7.250748e-001	-1.494925e-002
2.229999999999996e+000	7.252443e-001	-1.504756e-002
2.239999999999996e+000	7.254127e-001	-1.514587e-002
2.249999999999996e+000	7.255801e-001	-1.524420e-002
2.259999999999996e+000	7.257464e-001	-1.534254e-002
2.269999999999996e+000	7.259117e-001	-1.544088e-002
2.279999999999995e+000	7.260759e-001	-1.553924e-002
2.289999999999995e+000	7.262391e-001	-1.563761e-002
2.299999999999995e+000	7.264013e-001	-1.573599e-002
2.309999999999995e+000	7.265626e-001	-1.583437e-002
2.319999999999995e+000	7.267228e-001	-1.593277e-002
2.329999999999994e+000	7.268820e-001	-1.603118e-002
2.339999999999994e+000	7.270404e-001	-1.612960e-002
2.349999999999994e+000	7.271977e-001	-1.622802e-002
2.359999999999994e+000	7.273541e-001	-1.632646e-002
2.369999999999993e+000	7.275096e-001	-1.642490e-002
2.379999999999993e+000	7.276642e-001	-1.652336e-002
2.389999999999993e+000	7.278178e-001	-1.662182e-002
2.399999999999993e+000	7.279707e-001	-1.672029e-002
2.409999999999993e+000	7.281225e-001	-1.681877e-002
2.419999999999992e+000	7.282736e-001	-1.691726e-002
2.429999999999992e+000	7.284237e-001	-1.701576e-002
2.439999999999992e+000	7.285730e-001	-1.711427e-002
2.449999999999992e+000	7.287215e-001	-1.721279e-002
2.459999999999992e+000	7.288691e-001	-1.731131e-002
2.469999999999991e+000	7.290159e-001	-1.740984e-002
2.479999999999991e+000	7.291619e-001	-1.750838e-002
2.489999999999991e+000	7.293071e-001	-1.760693e-002
2.499999999999991e+000	7.294514e-001	-1.770549e-002
2.509999999999991e+000	7.295950e-001	-1.780405e-002
2.519999999999990e+000	7.297378e-001	-1.790262e-002
2.529999999999990e+000	7.298799e-001	-1.800120e-002
2.539999999999990e+000	7.300211e-001	-1.809979e-002
2.549999999999990e+000	7.301617e-001	-1.819838e-002
2.559999999999989e+000	7.303014e-001	-1.829699e-002
2.569999999999989e+000	7.304404e-001	-1.839560e-002
2.579999999999989e+000	7.305787e-001	-1.849421e-002
2.589999999999989e+000	7.307163e-001	-1.859284e-002
2.599999999999989e+000	7.308531e-001	-1.869147e-002
2.609999999999988e+000	7.309893e-001	-1.879011e-002
2.619999999999988e+000	7.311247e-001	-1.888875e-002
2.629999999999988e+000	7.312594e-001	-1.898741e-002
2.639999999999988e+000	7.313935e-001	-1.908606e-002
2.649999999999988e+000	7.315269e-001	-1.918473e-002
2.659999999999987e+000	7.316595e-001	-1.928340e-002
2.669999999999987e+000	7.317916e-001	-1.938208e-002
2.679999999999987e+000	7.319229e-001	-1.948077e-002
2.689999999999987e+000	7.320536e-001	-1.957946e-002
2.699999999999986e+000	7.321837e-001	-1.967816e-002
2.709999999999986e+000	7.323131e-001	-1.977687e-002
2.719999999999986e+000	7.324419e-001	-1.987558e-002
2.729999999999986e+000	7.325700e-001	-1.997430e-002
2.739999999999986e+000	7.326975e-001	-2.007302e-002
2.749999999999985e+000	7.328244e-001	-2.017176e-002
2.759999999999985e+000	7.329507e-001	-2.027049e-002
2.769999999999985e+000	7.330765e-001	-2.036924e-002
2.779999999999985e+000	7.332015e-001	-2.046799e-002
2.789999999999985e+000	7.333260e-001	-2.056674e-002
2.799999999999984e+000	7.334499e-001	-2.066550e-002
2.809999999999984e+000	7.335733e-001	-2.076427e-002
2.819999999999984e+000	7.336960e-001	-2.086304e-002
2.829999999999984e+000	7.338182e-001	-2.096182e-002
2.839999999999983e+000	7.339398e-001	-2.106060e-002
2.849999999999983e+000	7.340608e-001	-2.115939e-002
2.859999999999983e+000	7.341813e-001	-2.125819e-002
2.869999999999983e+000	7.343012e-001	-2.135699e-002
2.879999999999983e+000	7.344206e-001	-2.145579e-002
2.889999999999982e+000	7.345394e-001	-2.155461e-002
2.899999999999982e+000	7.346578e-001	-2.165342e-002
2.909999999999982e+000	7.347755e-001	-2.175224e-002
2.919999999999982e+000	7.348928e-001	-2.185107e-002
2.929999999999982e+000	7.350095e-001	-2.194990e-002
2.939999999999981e+000	7.351257e-001	-2.204874e-002
2.949999999999981e+000	7.352414e-001	-2.214759e-002
2.959999999999981e+000	7.353566e-001	-2.224643e-002
2.969999999999981e+000	7.354712e-001	-2.234529e-002
2.979999999999980e+000	7.355855e-001	-2.244415e-002
2.989999999999980e+000	7.356991e-001	-2.254301e-002
2.999999999999980e+000	7.358123e-001	-2.264188e-002
3.009999999999980e+000	7.359250e-001	-2.274075e-002
3.019999999999980e+000	7.360373e-001	-2.283963e-002
3.029999999999979e+000	7.361490e-001	-2.293851e-002
3.039999999999979e+000	7.362602e-001	-2.303740e-002
3.049999999999979e+000	7.363710e-001	-2.313629e-002
3.059999999999979e+000	7.364814e-001	-2.323519e-002
