time	Vf	VR	Vd
5.185714285714293e-003	1.140000e+000	4.464323e-001	6.935677e-001
5.232142857142864e-003	1.075000e+000	3.855056e-001	6.894944e-001
5.278571428571435e-003	1.010000e+000	3.250394e-001	6.849606e-001
5.325000000000006e-003	9.450000e-001	2.650338e-001	6.799662e-001
5.375000000000006e-003	8.750000e-001	2.022475e-001	6.727525e-001
5.425000000000005e-003	8.050000e-001	1.419539e-001	6.630461e-001
5.475000000000005e-003	7.350000e-001	8.641934e-002	6.485807e-001
5.525000000000005e-003	6.650000e-001	4.100013e-002	6.239999e-001
5.575000000000004e-003	5.950000e-001	1.288265e-002	5.821174e-001
5.625000000000004e-003	5.250000e-001	2.169907e-003	5.228301e-001
5.675000000000004e-003	4.550000e-001	1.818836e-004	4.548181e-001
5.725000000000004e-003	3.850000e-001	1.236796e-005	3.849876e-001
5.775000000000003e-003	3.150000e-001	8.046627e-007	3.149992e-001
5.825000000000003e-003	2.450000e-001	5.960464e-008	2.449999e-001
6.000000000000008e-003	0.000000e+000	5.335815e-029	-5.335815e-029
6.175000000000007e-003	2.450000e-001	5.960464e-008	2.449999e-001
6.225000000000007e-003	3.150000e-001	8.046627e-007	3.149992e-001
6.275000000000006e-003	3.850000e-001	1.236796e-005	3.849876e-001
6.325000000000006e-003	4.550000e-001	1.818538e-004	4.548182e-001
6.375000000000006e-003	5.250000e-001	2.169847e-003	5.228301e-001
6.425000000000005e-003	5.950000e-001	1.288420e-002	5.821158e-001
6.475000000000005e-003	6.650000e-001	4.100305e-002	6.239970e-001
6.525000000000005e-003	7.350000e-001	8.643639e-002	6.485636e-001
6.575000000000005e-003	8.050000e-001	1.419938e-001	6.630062e-001
6.625000000000004e-003	8.750000e-001	2.022626e-001	6.727374e-001
6.675000000000004e-003	9.450000e-001	2.649989e-001	6.800011e-001
6.775000000000003e-003	1.085000e+000	3.945395e-001	6.904606e-001
7.000000000000011e-003	1.400000e+000	6.947444e-001	7.052556e-001
7.046428571428583e-003	1.335000e+000	6.319756e-001	7.030244e-001
7.092857142857153e-003	1.270000e+000	5.696673e-001	7.003327e-001
7.139285714285725e-003	1.205000e+000	5.078195e-001	6.971805e-001
7.185714285714296e-003	1.140000e+000	4.464323e-001	6.935677e-001
7.232142857142868e-003	1.075000e+000	3.855056e-001	6.894944e-001
7.278571428571438e-003	1.010000e+000	3.250394e-001	6.849606e-001
7.325000000000010e-003	9.450000e-001	2.650338e-001	6.799662e-001
7.375000000000009e-003	8.750000e-001	2.022475e-001	6.727525e-001
7.425000000000009e-003	8.050000e-001	1.419539e-001	6.630461e-001
7.475000000000009e-003	7.350000e-001	8.641934e-002	6.485807e-001
7.525000000000008e-003	6.650000e-001	4.100013e-002	6.239999e-001
7.575000000000008e-003	5.950000e-001	1.288265e-002	5.821174e-001
7.625000000000008e-003	5.250000e-001	2.169907e-003	5.228301e-001
7.675000000000007e-003	4.550000e-001	1.818836e-004	4.548181e-001
7.725000000000007e-003	3.850000e-001	1.236796e-005	3.849876e-001
7.775000000000007e-003	3.150000e-001	8.046627e-007	3.149992e-001
7.825000000000007e-003	2.450000e-001	5.960464e-008	2.449999e-001
8.000000000000012e-003	0.000000e+000	5.335815e-029	-5.335815e-029
8.175000000000010e-003	2.450000e-001	5.960464e-008	2.449999e-001
8.225000000000010e-003	3.150000e-001	8.046627e-007	3.149992e-001
8.275000000000010e-003	3.850000e-001	1.236796e-005	3.849876e-001
8.325000000000010e-003	4.550000e-001	1.818538e-004	4.548182e-001
8.375000000000009e-003	5.250000e-001	2.169847e-003	5.228301e-001
8.425000000000009e-003	5.950000e-001	1.288420e-002	5.821158e-001
8.475000000000009e-003	6.650000e-001	4.100305e-002	6.239970e-001
8.525000000000008e-003	7.350000e-001	8.643639e-002	6.485636e-001
8.575000000000008e-003	8.050000e-001	1.419938e-001	6.630062e-001
8.625000000000008e-003	8.750000e-001	2.022626e-001	6.727374e-001
8.675000000000007e-003	9.450000e-001	2.649989e-001	6.800011e-001
8.775000000000007e-003	1.085000e+000	3.945395e-001	6.904606e-001
9.000000000000017e-003	1.400000e+000	6.947444e-001	7.052556e-001
9.046428571428587e-003	1.335000e+000	6.319756e-001	7.030244e-001
9.092857142857160e-003	1.270000e+000	5.696673e-001	7.003327e-001
9.139285714285730e-003	1.205000e+000	5.078195e-001	6.971805e-001
9.185714285714301e-003	1.140000e+000	4.464323e-001	6.935677e-001
9.232142857142871e-003	1.075000e+000	3.855056e-001	6.894944e-001
9.278571428571443e-003	1.010000e+000	3.250394e-001	6.849606e-001
9.325000000000014e-003	9.450000e-001	2.650338e-001	6.799662e-001
9.375000000000014e-003	8.750000e-001	2.022475e-001	6.727525e-001
9.425000000000013e-003	8.050000e-001	1.419539e-001	6.630461e-001
9.475000000000013e-003	7.350000e-001	8.641934e-002	6.485807e-001
9.525000000000013e-003	6.650000e-001	4.100013e-002	6.239999e-001
9.575000000000012e-003	5.950000e-001	1.288265e-002	5.821174e-001
9.625000000000012e-003	5.250000e-001	2.169907e-003	5.228301e-001
9.675000000000012e-003	4.550000e-001	1.818836e-004	4.548181e-001
9.725000000000011e-003	3.850000e-001	1.236796e-005	3.849876e-001
9.775000000000011e-003	3.150000e-001	8.046627e-007	3.149992e-001
9.825000000000011e-003	2.450000e-001	5.960464e-008	2.449999e-001
9.950000000000016e-003	7.000000e-002	0.000000e+000	7.000000e-002
1.000000000000000e-002	2.176037e-014	0.000000e+000	2.176037e-014
