f,vs,vR
10.0,0.004548900382099885,0.6484712698382469
30.1010101010101,0.008603849732295544,0.6445409737119749
50.2020202020202,0.02388161148062117,0.6466089539650641
70.3030303030303,0.033154918011907585,0.6462691793276366
90.4040404040404,0.044493555709063895,0.6463398007466691
110.505050505051,0.0531111411759574,0.6450613085519
130.606060606061,0.059289799758986295,0.6458384373028422
150.707070707071,0.06667442931885542,0.6445072476010568
170.808080808081,0.07424584628461112,0.6436108877067512
190.909090909091,0.07973846379944947,0.6467513716850304
211.010101010101,0.08808509888578919,0.6452382273851778
231.111111111111,0.09639497142277793,0.6431103472407161
251.212121212121,0.09724204023040141,0.6431963740166534
271.313131313131,0.10801366748118088,0.6433003499146295
291.414141414141,0.11494257978294016,0.6450309869016237
311.515151515152,0.11777216064839972,0.643069126805854
331.616161616162,0.122356497747196,0.6423233737167713
351.717171717172,0.1271679516648392,0.642522813929288
371.818181818182,0.13711129264255298,0.6440344659180034
391.919191919192,0.13844909716234502,0.6426495058373295
412.020202020202,0.14013160002671896,0.6430233094091974
432.121212121212,0.1459213263330855,0.6484530600658874
452.222222222222,0.14701656426502613,0.6444935661034357
472.323232323232,0.15520092103056465,0.6428891783832544
492.424242424242,0.15210983945690806,0.6439737437359885
512.525252525253,0.1600777681429294,0.6435232512779622
532.626262626263,0.16430661318156098,0.6442104078028547
552.727272727273,0.1666802637512917,0.6382363941941163
572.828282828283,0.16400916023131606,0.6408355874153943
592.929292929293,0.16737969592174679,0.6408132690778366
613.030303030303,0.1678666956556101,0.6403846795597572
633.131313131313,0.16917389131023033,0.6403942215972762
653.232323232323,0.17213189376433616,0.6412244819502734
673.333333333333,0.17318275714804177,0.6412649604375221
693.434343434343,0.1778290585280667,0.6436499105486453
713.535353535353,0.18068708619457144,0.6397549923647943
733.636363636363,0.18008554255881792,0.6436057417250675
753.737373737373,0.17857915106939604,0.6410460601845991
773.838383838383,0.18166385376975133,0.641078258094576
793.939393939393,0.17572855615848548,0.6426363379157217
814.040404040403,0.18375796710662165,0.6388032721921602
834.141414141413,0.18189721109850934,0.6410474771588887
854.242424242423,0.1866768600127023,0.6416369280084514
874.343434343433,0.18720500432641146,0.6401882118185007
894.444444444443,0.18717720329696272,0.6393122459204301
914.545454545453,0.1875334437025052,0.637474549563434
934.646464646464,0.18787743744867463,0.6419119350405623
954.747474747474,0.1847673661964332,0.6432238572958371
974.848484848484,0.18799857961347283,0.6435249163366358
994.949494949494,0.18929397079995297,0.6394988606693648
1015.0505050505,0.1882159953348812,0.6397352438908767
1035.15151515151,0.19292660012151172,0.6390320652151131
1055.25252525252,0.19083496929153665,0.6415408988818357
1075.35353535353,0.18977281188617218,0.6412688774733037
1095.45454545454,0.18986018160558418,0.6422730784752664
1115.55555555555,0.18898373854191267,0.6384765805091601
1135.65656565656,0.19203753486004377,0.6444089818454648
1155.75757575757,0.18820633629300662,0.6407889705840115
1175.85858585859,0.18817050604872235,0.6427206580972745
1195.9595959596,0.18947731888307426,0.641461535657554
1216.06060606061,0.1884285068285036,0.6416772171276208
1236.16161616162,0.1872858318586997,0.6395071297839628
1256.26262626263,0.1906735601931049,0.6415876202599367
1276.36363636364,0.18811521174396723,0.6414944127583538
1296.46464646465,0.1871287643372068,0.6434981686218928
1316.56565656566,0.18606219863840134,0.6416047186280233
1336.66666666667,0.1907393447973877,0.6406696399293769
1356.76767676768,0.19100993802093652,0.6418120916080623
1376.86868686869,0.18694465049654063,0.6421812337763041
1396.9696969697,0.18586525552135985,0.6427817608769923
1417.07070707071,0.18603186063153596,0.6383005085958952
1437.17171717172,0.18902154746654584,0.6418676800445383
1457.27272727273,0.1849161612830898,0.6386005264835601
1477.37373737374,0.18712798922735202,0.6436371003382965
1497.47474747475,0.1874626381020655,0.6422959367565456
1517.57575757576,0.18436284284062324,0.6431556732371398
1537.67676767677,0.18594712178668488,0.6416573594578354
1557.77777777778,0.18508797612056593,0.6400380386151823
1577.87878787879,0.18569743207515116,0.6420717793039149
1597.9797979798,0.18720108360628201,0.6410329990328117
1618.08080808081,0.18626579023566614,0.6421277034800907
1638.18181818182,0.18134034142350086,0.6436993261034236
1658.28282828283,0.18629275900942996,0.6412164106085582
1678.38383838384,0.18545409078680924,0.6415688334164841
1698.48484848485,0.18076370772973516,0.6411788403700287
1718.58585858586,0.18334246867637075,0.6422340963067751
1738.68686868687,0.18413233042348173,0.6422157988751299
1758.78787878788,0.1774325575483485,0.6402198316925043
1778.88888888889,0.1830676626657258,0.6441459195232674
1798.9898989899,0.17462302925311138,0.6392365796430864
1819.09090909091,0.18109737339727824,0.6448084752402454
1839.19191919192,0.1802746879096871,0.6391223631624516
1859.29292929293,0.1772382569509443,0.6419620295269263
1879.39393939394,0.17652418088575253,0.6429842713816294
1899.49494949495,0.1806020522485591,0.6430608657414705
1919.59595959596,0.17807591211419213,0.6400733775764925
1939.69696969697,0.17703723271689803,0.6439285140664562
1959.79797979798,0.17353213523574842,0.6435179952654062
1979.89898989899,0.17678220850743467,0.6452301642136685
2000.0,0.1782633291423509,0.6389480855073338
