Freq.	mag(V(n002))	mag(V(n006))
4.12020202020202e+002	2.38671466562620e-002,0.00000000000000e+000	6.45203413606945e-001,0.00000000000000e+000
4.32121212121212e+002	2.50498700421990e-002,0.00000000000000e+000	6.45197170654655e-001,0.00000000000000e+000
4.52222222222222e+002	2.62351844364680e-002,0.00000000000000e+000	6.45190610470180e-001,0.00000000000000e+000
4.72323232323232e+002	2.74232035169357e-002,0.00000000000000e+000	6.45183730293414e-001,0.00000000000000e+000
4.92424242424242e+002	2.86140399059902e-002,0.00000000000000e+000	6.45176527244052e-001,0.00000000000000e+000
5.12525252525253e+002	2.98078050960509e-002,0.00000000000000e+000	6.45168998322613e-001,0.00000000000000e+000
5.32626262626263e+002	3.10046093713173e-002,0.00000000000000e+000	6.45161140411589e-001,0.00000000000000e+000
5.52727272727273e+002	3.22045617255614e-002,0.00000000000000e+000	6.45152950276709e-001,0.00000000000000e+000
5.72828282828283e+002	3.34077697757715e-002,0.00000000000000e+000	6.45144424568347e-001,0.00000000000000e+000
5.92929292929293e+002	3.46143396714462e-002,0.00000000000000e+000	6.45135559823075e-001,0.00000000000000e+000
6.13030303030303e+002	3.58243759993399e-002,0.00000000000000e+000	6.45126352465389e-001,0.00000000000000e+000
6.33131313131313e+002	3.70379816834540e-002,0.00000000000000e+000	6.45116798809595e-001,0.00000000000000e+000
6.53232323232323e+002	3.82552578800672e-002,0.00000000000000e+000	6.45106895061889e-001,0.00000000000000e+000
6.73333333333333e+002	3.94763038675984e-002,0.00000000000000e+000	6.45096637322641e-001,0.00000000000000e+000
6.93434343434343e+002	4.07012169310903e-002,0.00000000000000e+000	6.45086021588898e-001,0.00000000000000e+000
7.13535353535353e+002	4.19300922411011e-002,0.00000000000000e+000	6.45075043757103e-001,0.00000000000000e+000
7.33636363636363e+002	4.31630227267928e-002,0.00000000000000e+000	6.45063699626082e-001,0.00000000000000e+000
7.53737373737373e+002	4.44000989430022e-002,0.00000000000000e+000	6.45051984900279e-001,0.00000000000000e+000
7.73838383838383e+002	4.56414089310806e-002,0.00000000000000e+000	6.45039895193289e-001,0.00000000000000e+000
7.93939393939393e+002	4.68870380732904e-002,0.00000000000000e+000	6.45027426031679e-001,0.00000000000000e+000
8.14040404040403e+002	4.81370689405449e-002,0.00000000000000e+000	6.45014572859135e-001,0.00000000000000e+000
8.34141414141413e+002	4.93915811332856e-002,0.00000000000000e+000	6.45001331040948e-001,0.00000000000000e+000
8.54242424242423e+002	5.06506511152880e-002,0.00000000000000e+000	6.44987695868855e-001,0.00000000000000e+000
8.74343434343433e+002	5.19143520401954e-002,0.00000000000000e+000	6.44973662566280e-001,0.00000000000000e+000
8.94444444444443e+002	5.31827535705836e-002,0.00000000000000e+000	6.44959226293953e-001,0.00000000000000e+000
9.14545454545453e+002	5.44559216893664e-002,0.00000000000000e+000	6.44944382155972e-001,0.00000000000000e+000
9.34646464646464e+002	5.57339185033593e-002,0.00000000000000e+000	6.44929125206312e-001,0.00000000000000e+000
9.54747474747474e+002	5.70168020388293e-002,0.00000000000000e+000	6.44913450455808e-001,0.00000000000000e+000
9.74848484848484e+002	5.83046260288672e-002,0.00000000000000e+000	6.44897352879636e-001,0.00000000000000e+000
9.94949494949494e+002	5.95974396924342e-002,0.00000000000000e+000	6.44880827425316e-001,0.00000000000000e+000
1.01505050505050e+003	6.08952875049465e-002,0.00000000000000e+000	6.44863869021267e-001,0.00000000000000e+000
1.03515151515151e+003	6.21982089602807e-002,0.00000000000000e+000	6.44846472585935e-001,0.00000000000000e+000
1.05525252525252e+003	6.35062383240998e-002,0.00000000000000e+000	6.44828633037524e-001,0.00000000000000e+000
1.07535353535353e+003	6.48194043784223e-002,0.00000000000000e+000	6.44810345304367e-001,0.00000000000000e+000
1.09545454545454e+003	6.61377301573750e-002,0.00000000000000e+000	6.44791604335917e-001,0.00000000000000e+000
1.11555555555555e+003	6.74612326741088e-002,0.00000000000000e+000	6.44772405114466e-001,0.00000000000000e+000
1.13565656565656e+003	6.87899226388713e-002,0.00000000000000e+000	6.44752742667540e-001,0.00000000000000e+000
1.15575757575757e+003	7.01238041682711e-002,0.00000000000000e+000	6.44732612081034e-001,0.00000000000000e+000
1.17585858585859e+003	7.14628744858033e-002,0.00000000000000e+000	6.44712008513116e-001,0.00000000000000e+000
1.19595959595960e+003	7.28071236137434e-002,0.00000000000000e+000	6.44690927208911e-001,0.00000000000000e+000
1.21606060606061e+003	7.41565340565554e-002,0.00000000000000e+000	6.44669363515985e-001,0.00000000000000e+000
1.23616161616162e+003	7.55110804760167e-002,0.00000000000000e+000	6.44647312900688e-001,0.00000000000000e+000
1.25626262626263e+003	7.68707293582978e-002,0.00000000000000e+000	6.44624770965309e-001,0.00000000000000e+000
1.27636363636364e+003	7.82354386733031e-002,0.00000000000000e+000	6.44601733466143e-001,0.00000000000000e+000
1.29646464646465e+003	7.96051575266273e-002,0.00000000000000e+000	6.44578196332432e-001,0.00000000000000e+000
1.31656565656566e+003	8.09798258045502e-002,0.00000000000000e+000	6.44554155686212e-001,0.00000000000000e+000
1.33666666666667e+003	8.23593738125559e-002,0.00000000000000e+000	6.44529607863083e-001,0.00000000000000e+000
1.35676767676768e+003	8.37437219079383e-002,0.00000000000000e+000	6.44504549433911e-001,0.00000000000000e+000
1.37686868686869e+003	8.51327801271271e-002,0.00000000000000e+000	6.44478977227470e-001,0.00000000000000e+000
1.39696969696970e+003	8.65264478084488e-002,0.00000000000000e+000	6.44452888354009e-001,0.00000000000000e+000
1.41707070707071e+003	8.79246132111300e-002,0.00000000000000e+000	6.44426280229772e-001,0.00000000000000e+000
1.43717171717172e+003	8.93271531314277e-002,0.00000000000000e+000	6.44399150602441e-001,0.00000000000000e+000
1.45727272727273e+003	9.07339325168788e-002,0.00000000000000e+000	6.44371497577504e-001,0.00000000000000e+000
1.47737373737374e+003	9.21448040797487e-002,0.00000000000000e+000	6.44343319645519e-001,0.00000000000000e+000
1.49747474747475e+003	9.35596079108709e-002,0.00000000000000e+000	6.44314615710267e-001,0.00000000000000e+000
1.51757575757576e+003	9.49781710951654e-002,0.00000000000000e+000	6.44285385117735e-001,0.00000000000000e+000
1.53767676767677e+003	9.64003073302501e-002,0.00000000000000e+000	6.44255627685932e-001,0.00000000000000e+000
1.55777777777778e+003	9.78258165496501e-002,0.00000000000000e+000	6.44225343735448e-001,0.00000000000000e+000
1.57787878787879e+003	9.92544845522511e-002,0.00000000000000e+000	6.44194534120743e-001,0.00000000000000e+000
1.59797979797980e+003	1.00686082639739e-001,0.00000000000000e+000	6.44163200262065e-001,0.00000000000000e+000
1.61808080808081e+003	1.02120367263898e-001,0.00000000000000e+000	6.44131344177944e-001,0.00000000000000e+000
1.63818181818182e+003	1.03557079685766e-001,0.00000000000000e+000	6.44098968518197e-001,0.00000000000000e+000
1.65828282828283e+003	1.04995945648736e-001,0.00000000000000e+000	6.44066076597286e-001,0.00000000000000e+000
1.67838383838384e+003	1.06436675067866e-001,0.00000000000000e+000	6.44032672428014e-001,0.00000000000000e+000
1.69848484848485e+003	1.07878961737701e-001,0.00000000000000e+000	6.43998760755369e-001,0.00000000000000e+000
