Freq.	mag(V(n002))	mag(V(n006))
7.93939393939393e+002	1.82859085561124e-001,0.00000000000000e+000	6.41677796066399e-001,0.00000000000000e+000
8.14040404040403e+002	1.83720099539080e-001,0.00000000000000e+000	6.41642629413248e-001,0.00000000000000e+000
8.34141414141413e+002	1.84504563418956e-001,0.00000000000000e+000	6.41610281096924e-001,0.00000000000000e+000
8.54242424242423e+002	1.85217029589782e-001,0.00000000000000e+000	6.41580610054659e-001,0.00000000000000e+000
8.74343434343433e+002	1.85861741459260e-001,0.00000000000000e+000	6.41553481188025e-001,0.00000000000000e+000
8.94444444444443e+002	1.86442655358451e-001,0.00000000000000e+000	6.41528765367292e-001,0.00000000000000e+000
9.14545454545453e+002	1.86963461159142e-001,0.00000000000000e+000	6.41506339369082e-001,0.00000000000000e+000
9.34646464646464e+002	1.87427601601556e-001,0.00000000000000e+000	6.41486085762934e-001,0.00000000000000e+000
9.54747474747474e+002	1.87838290352719e-001,0.00000000000000e+000	6.41467892759640e-001,0.00000000000000e+000
9.74848484848484e+002	1.88198528832162e-001,0.00000000000000e+000	6.41451654031807e-001,0.00000000000000e+000
9.94949494949494e+002	1.88511121853137e-001,0.00000000000000e+000	6.41437268515050e-001,0.00000000000000e+000
1.01505050505050e+003	1.88778692135066e-001,0.00000000000000e+000	6.41424640196636e-001,0.00000000000000e+000
1.03515151515151e+003	1.89003693747579e-001,0.00000000000000e+000	6.41413677896950e-001,0.00000000000000e+000
1.05525252525252e+003	1.89188424548786e-001,0.00000000000000e+000	6.41404295048045e-001,0.00000000000000e+000
1.07535353535353e+003	1.89335037681039e-001,0.00000000000000e+000	6.41396409472621e-001,0.00000000000000e+000
1.09545454545454e+003	1.89445552186738e-001,0.00000000000000e+000	6.41389943165937e-001,0.00000000000000e+000
1.11555555555555e+003	1.89521862805151e-001,0.00000000000000e+000	6.41384822082660e-001,0.00000000000000e+000
1.13565656565656e+003	1.89565749008941e-001,0.00000000000000e+000	6.41380975930001e-001,0.00000000000000e+000
1.15575757575757e+003	1.89578883336399e-001,0.00000000000000e+000	6.41378337968191e-001,0.00000000000000e+000
1.17585858585859e+003	1.89562839072461e-001,0.00000000000000e+000	6.41376844818992e-001,0.00000000000000e+000
1.19595959595960e+003	1.89519097328440e-001,0.00000000000000e+000	6.41376436282641e-001,0.00000000000000e+000
1.21606060606061e+003	1.89449053567270e-001,0.00000000000000e+000	6.41377055163474e-001,0.00000000000000e+000
1.23616161616162e+003	1.89354023617944e-001,0.00000000000000e+000	6.41378647104268e-001,0.00000000000000e+000
1.25626262626263e+003	1.89235249219762e-001,0.00000000000000e+000	6.41381160429257e-001,0.00000000000000e+000
1.27636363636364e+003	1.89093903134053e-001,0.00000000000000e+000	6.41384545995653e-001,0.00000000000000e+000
1.29646464646465e+003	1.88931093858213e-001,0.00000000000000e+000	6.41388757053428e-001,0.00000000000000e+000
1.31656565656566e+003	1.88747869974287e-001,0.00000000000000e+000	6.41393749113113e-001,0.00000000000000e+000
1.33666666666667e+003	1.88545224161714e-001,0.00000000000000e+000	6.41399479821261e-001,0.00000000000000e+000
1.35676767676768e+003	1.88324096901617e-001,0.00000000000000e+000	6.41405908843248e-001,0.00000000000000e+000
1.37686868686869e+003	1.88085379897723e-001,0.00000000000000e+000	6.41412997753082e-001,0.00000000000000e+000
1.39696969696970e+003	1.87829919237020e-001,0.00000000000000e+000	6.41420709929805e-001,0.00000000000000e+000
1.41707070707071e+003	1.87558518311365e-001,0.00000000000000e+000	6.41429010460212e-001,0.00000000000000e+000
1.43717171717172e+003	1.87271940519471e-001,0.00000000000000e+000	6.41437866047441e-001,0.00000000000000e+000
1.45727272727273e+003	1.86970911767136e-001,0.00000000000000e+000	6.41447244925185e-001,0.00000000000000e+000
1.47737373737374e+003	1.86656122782064e-001,0.00000000000000e+000	6.41457116777104e-001,0.00000000000000e+000
1.49747474747475e+003	1.86328231258268e-001,0.00000000000000e+000	6.41467452661187e-001,0.00000000000000e+000
1.51757575757576e+003	1.85987863843809e-001,0.00000000000000e+000	6.41478224938720e-001,0.00000000000000e+000
1.53767676767677e+003	1.85635617984440e-001,0.00000000000000e+000	6.41489407207565e-001,0.00000000000000e+000
1.55777777777778e+003	1.85272063634714e-001,0.00000000000000e+000	6.41500974239499e-001,0.00000000000000e+000
1.57787878787879e+003	1.84897744847109e-001,0.00000000000000e+000	6.41512901921334e-001,0.00000000000000e+000
1.59797979797980e+003	1.84513181248861e-001,0.00000000000000e+000	6.41525167199558e-001,0.00000000000000e+000
1.61808080808081e+003	1.84118869415388e-001,0.00000000000000e+000	6.41537748028300e-001,0.00000000000000e+000
1.63818181818182e+003	1.83715284148429e-001,0.00000000000000e+000	6.41550623320368e-001,0.00000000000000e+000
1.65828282828283e+003	1.83302879666352e-001,0.00000000000000e+000	6.41563772901174e-001,0.00000000000000e+000
1.67838383838384e+003	1.82882090713494e-001,0.00000000000000e+000	6.41577177465337e-001,0.00000000000000e+000
1.69848484848485e+003	1.82453333594775e-001,0.00000000000000e+000	6.41590818535813e-001,0.00000000000000e+000
1.71858585858586e+003	1.82017007141343e-001,0.00000000000000e+000	6.41604678425348e-001,0.00000000000000e+000
1.73868686868687e+003	1.81573493612555e-001,0.00000000000000e+000	6.41618740200145e-001,0.00000000000000e+000
1.75878787878788e+003	1.81123159539100e-001,0.00000000000000e+000	6.41632987645552e-001,0.00000000000000e+000
1.77888888888889e+003	1.80666356511738e-001,0.00000000000000e+000	6.41647405233661e-001,0.00000000000000e+000
1.79898989898990e+003	1.80203421919734e-001,0.00000000000000e+000	6.41661978092695e-001,0.00000000000000e+000
1.81909090909091e+003	1.79734679642739e-001,0.00000000000000e+000	6.41676691978061e-001,0.00000000000000e+000
1.83919191919192e+003	1.79260440699566e-001,0.00000000000000e+000	6.41691533244950e-001,0.00000000000000e+000
1.85929292929293e+003	1.78781003857034e-001,0.00000000000000e+000	6.41706488822402e-001,0.00000000000000e+000
1.87939393939394e+003	1.78296656201798e-001,0.00000000000000e+000	6.41721546188711e-001,0.00000000000000e+000
1.89949494949495e+003	1.77807673677849e-001,0.00000000000000e+000	6.41736693348144e-001,0.00000000000000e+000
1.91959595959596e+003	1.77314321592156e-001,0.00000000000000e+000	6.41751918808805e-001,0.00000000000000e+000
1.93969696969697e+003	1.76816855090710e-001,0.00000000000000e+000	6.41767211561648e-001,0.00000000000000e+000
1.95979797979798e+003	1.76315519607095e-001,0.00000000000000e+000	6.41782561060529e-001,0.00000000000000e+000
1.97989898989899e+003	1.75810551285481e-001,0.00000000000000e+000	6.41797957203237e-001,0.00000000000000e+000
2.00000000000000e+003	1.75302177379850e-001,0.00000000000000e+000	6.41813390313438e-001,0.00000000000000e+000
