Freq.	mag(V(n004)/V(n001))
1.47272727272727e+004	5.25367062310838e-001,0.00000000000000e+000
1.50101010101010e+004	6.22122300222384e-001,0.00000000000000e+000
1.52929292929293e+004	7.35766607754127e-001,0.00000000000000e+000
1.55757575757576e+004	8.46283875833623e-001,0.00000000000000e+000
1.58585858585859e+004	9.07168132412071e-001,0.00000000000000e+000
1.61414141414141e+004	8.80629494614017e-001,0.00000000000000e+000
1.64242424242424e+004	7.89052079434377e-001,0.00000000000000e+000
1.67070707070707e+004	6.81494860010361e-001,0.00000000000000e+000
1.69898989898990e+004	5.85263913097797e-001,0.00000000000000e+000
1.72727272727273e+004	5.06706362011275e-001,0.00000000000000e+000
1.75555555555555e+004	4.44114685679203e-001,0.00000000000000e+000
1.78383838383838e+004	3.94164544890865e-001,0.00000000000000e+000
1.81212121212121e+004	3.53860753859562e-001,0.00000000000000e+000
1.84040404040404e+004	3.20886575543221e-001,0.00000000000000e+000
1.86868686868687e+004	2.93527424695218e-001,0.00000000000000e+000
1.89696969696970e+004	2.70524989513784e-001,0.00000000000000e+000
1.92525252525252e+004	2.50950659628572e-001,0.00000000000000e+000
1.95353535353535e+004	2.34111417624372e-001,0.00000000000000e+000
1.98181818181818e+004	2.19483170203608e-001,0.00000000000000e+000
2.01010101010101e+004	2.06664123978163e-001,0.00000000000000e+000
2.03838383838384e+004	1.95342122025953e-001,0.00000000000000e+000
2.06666666666667e+004	1.85271569678928e-001,0.00000000000000e+000
2.09494949494949e+004	1.76256949993082e-001,0.00000000000000e+000
2.12323232323232e+004	1.68140900119649e-001,0.00000000000000e+000
2.15151515151515e+004	1.60795477061524e-001,0.00000000000000e+000
2.17979797979798e+004	1.54115679901909e-001,0.00000000000000e+000
2.20808080808081e+004	1.48014587924526e-001,0.00000000000000e+000
2.23636363636364e+004	1.42419669926885e-001,0.00000000000000e+000
2.26464646464646e+004	1.37269952421675e-001,0.00000000000000e+000
2.29292929292929e+004	1.32513824829619e-001,0.00000000000000e+000
2.32121212121212e+004	1.28107322188609e-001,0.00000000000000e+000
2.34949494949495e+004	1.24012769488606e-001,0.00000000000000e+000
2.37777777777778e+004	1.20197702514183e-001,0.00000000000000e+000
2.40606060606060e+004	1.16634002040287e-001,0.00000000000000e+000
2.43434343434343e+004	1.13297194068227e-001,0.00000000000000e+000
2.46262626262626e+004	1.10165880330384e-001,0.00000000000000e+000
2.49090909090909e+004	1.07221271781978e-001,0.00000000000000e+000
2.51919191919192e+004	1.04446804101006e-001,0.00000000000000e+000
2.54747474747475e+004	1.01827818937533e-001,0.00000000000000e+000
2.57575757575757e+004	9.93512982180459e-002,0.00000000000000e+000
2.60404040404040e+004	9.70056415236335e-002,0.00000000000000e+000
2.63232323232323e+004	9.47804786415380e-002,0.00000000000000e+000
2.66060606060606e+004	9.26665109968360e-002,0.00000000000000e+000
2.68888888888889e+004	9.06553769210023e-002,0.00000000000000e+000
2.71717171717172e+004	8.87395366925805e-002,0.00000000000000e+000
2.74545454545454e+004	8.69121740559162e-002,0.00000000000000e+000
2.77373737373737e+004	8.51671115345587e-002,0.00000000000000e+000
2.80202020202020e+004	8.34987373425311e-002,0.00000000000000e+000
2.83030303030303e+004	8.19019420864816e-002,0.00000000000000e+000
2.85858585858586e+004	8.03720637656332e-002,0.00000000000000e+000
2.88686868686869e+004	7.89048398304686e-002,0.00000000000000e+000
2.91515151515151e+004	7.74963652676254e-002,0.00000000000000e+000
2.94343434343434e+004	7.61430558471687e-002,0.00000000000000e+000
2.97171717171717e+004	7.48416158067755e-002,0.00000000000000e+000
3.00000000000000e+004	7.35890093613597e-002,0.00000000000000e+000
