Freq.	mag(V(n002)/V(n001))
5.35818181818182e+003	8.67316186680077e-001,0.00000000000000e+000
5.45909090909091e+003	8.70966218139961e-001,0.00000000000000e+000
5.56000000000000e+003	8.74482531649902e-001,0.00000000000000e+000
5.66090909090909e+003	8.77870749448184e-001,0.00000000000000e+000
5.76181818181818e+003	8.81136261208480e-001,0.00000000000000e+000
5.86272727272728e+003	8.84284229909735e-001,0.00000000000000e+000
5.96363636363637e+003	8.87319598264025e-001,0.00000000000000e+000
6.06454545454546e+003	8.90247095553266e-001,0.00000000000000e+000
6.16545454545455e+003	8.93071244749451e-001,0.00000000000000e+000
6.26636363636364e+003	8.95796369813567e-001,0.00000000000000e+000
6.36727272727273e+003	8.98426603086026e-001,0.00000000000000e+000
6.46818181818182e+003	9.00965892696615e-001,0.00000000000000e+000
6.56909090909091e+003	9.03418009934923e-001,0.00000000000000e+000
6.67000000000000e+003	9.05786556533328e-001,0.00000000000000e+000
6.77090909090909e+003	9.08074971824069e-001,0.00000000000000e+000
6.87181818181819e+003	9.10286539739973e-001,0.00000000000000e+000
6.97272727272728e+003	9.12424395635183e-001,0.00000000000000e+000
7.07363636363637e+003	9.14491532908020e-001,0.00000000000000e+000
7.17454545454546e+003	9.16490809412890e-001,0.00000000000000e+000
7.27545454545455e+003	9.18424953652247e-001,0.00000000000000e+000
7.37636363636364e+003	9.20296570742938e-001,0.00000000000000e+000
7.47727272727273e+003	9.22108148154095e-001,0.00000000000000e+000
7.57818181818182e+003	9.23862061215995e-001,0.00000000000000e+000
7.67909090909091e+003	9.25560578401225e-001,0.00000000000000e+000
7.78000000000000e+003	9.27205866380987e-001,0.00000000000000e+000
7.88090909090910e+003	9.28799994860578e-001,0.00000000000000e+000
7.98181818181819e+003	9.30344941199077e-001,0.00000000000000e+000
8.08272727272728e+003	9.31842594818967e-001,0.00000000000000e+000
8.18363636363637e+003	9.33294761412005e-001,0.00000000000000e+000
8.28454545454546e+003	9.34703166948029e-001,0.00000000000000e+000
8.38545454545455e+003	9.36069461493707e-001,0.00000000000000e+000
8.48636363636364e+003	9.37395222848334e-001,0.00000000000000e+000
8.58727272727273e+003	9.38681960003934e-001,0.00000000000000e+000
8.68818181818182e+003	9.39931116436880e-001,0.00000000000000e+000
8.78909090909091e+003	9.41144073238218e-001,0.00000000000000e+000
