f,T
2000.0,0.0047530359442368355
2282.82828282828,0.013500511959184263
2565.65656565657,0.010030367964929267
2848.48484848485,0.032180411923031546
3131.31313131313,0.02586873292631443
3414.14141414141,0.03411660565134935
3696.9696969697,0.022297469107116757
3979.79797979798,0.022658958016223932
4262.62626262626,0.026376049229188493
4545.45454545454,0.02774427409038651
4828.28282828283,0.039550274635152566
5111.11111111111,0.04171248439053764
5393.93939393939,0.03902315927794747
5676.76767676767,0.0521618502221487
5959.59595959596,0.04558783543231149
6242.42424242424,0.045290154155932315
6525.25252525252,0.0549391278375498
6808.08080808081,0.04676768202292554
7090.90909090909,0.05684249270282492
7373.73737373737,0.058736560051261086
7656.56565656565,0.06209625691501815
7939.39393939394,0.06913835661858739
8222.22222222222,0.07736755914765782
8505.0505050505,0.07840495233531308
8787.87878787878,0.06821232848403179
9070.70707070707,0.06974821576435972
9353.53535353535,0.10143567568944474
9636.36363636363,0.09108450974900176
9919.19191919192,0.09651782767755622
10202.0202020202,0.10706386829692707
10484.8484848485,0.11870805817190411
10767.6767676768,0.13134700366318322
11050.505050505,0.11948282055498205
11333.3333333333,0.1467309365759676
11616.1616161616,0.14755126773665417
11898.9898989899,0.1727075597179284
12181.8181818182,0.17818543665856912
12464.6464646465,0.18802144051695052
12747.4747474747,0.21746595294317056
13030.303030303,0.23447428182525046
13313.1313131313,0.2692094800301352
13595.9595959596,0.30484049985114414
13878.7878787879,0.3401092905173187
14161.6161616162,0.3813804682994374
14444.4444444444,0.45082908068447364
14727.2727272727,0.5240980932607681
15010.101010101,0.6239384700626734
15292.9292929293,0.7245217951795858
15575.7575757576,0.8500082071500336
15858.5858585859,0.900874691486491
16141.4141414141,0.8731958646948706
16424.2424242424,0.7941829061721432
16707.0707070707,0.6849838070153038
16989.898989899,0.5909632502346633
17272.7272727273,0.5065881898032697
17555.5555555555,0.4570154628892126
17838.3838383838,0.40564743201504405
18121.2121212121,0.3552601572875025
18404.0404040404,0.32884786428296237
18686.8686868687,0.300695336839048
18969.696969697,0.2769152158301387
19252.5252525252,0.2372331687377795
19535.3535353535,0.24044228985236715
19818.1818181818,0.21893541421918453
20101.0101010101,0.2003509502440557
20383.8383838384,0.20105985543855714
20666.6666666667,0.18951791894591846
20949.4949494949,0.18340206123866148
21232.3232323232,0.1696771291856614
21515.1515151515,0.15518239353025903
21797.9797979798,0.16241925859493503
22080.8080808081,0.14767281969431767
22363.6363636364,0.13411796466969478
22646.4646464646,0.14866834200188292
22929.2929292929,0.127085238419157
23212.1212121212,0.13142426036090518
23494.9494949495,0.13726943284607948
23777.7777777778,0.12684445251099133
24060.606060606,0.11018105334820485
24343.4343434343,0.11540952608816954
24626.2626262626,0.10685364153593789
24909.0909090909,0.10869697334130349
25191.9191919192,0.1032678656020397
25474.7474747475,0.10738730605110228
25757.5757575757,0.10985288567304259
26040.404040404,0.08665403563614986
26323.2323232323,0.08577130990433628
26606.0606060606,0.09929682391525609
26888.8888888889,0.090009380341001
27171.7171717172,0.08409924553521424
27454.5454545454,0.09075022251642925
27737.3737373737,0.09172631476779933
28020.202020202,0.08084577043183859
28303.0303030303,0.08620132000449927
28585.8585858586,0.08555752302042541
28868.6868686869,0.07984528452659638
29151.5151515151,0.06389410901255309
29434.3434343434,0.06099758667814665
29717.1717171717,0.06513800751539728
30000.0,0.07137012415043417
