Freq.	mag(V(n004)/V(n001))
2.00000000000000e+003	3.82740150577300e-002,0.00000000000000e+000
2.28282828282828e+003	4.38889699093108e-002,0.00000000000000e+000
2.56565656565657e+003	4.95865670489609e-002,0.00000000000000e+000
2.84848484848485e+003	5.53785913485148e-002,0.00000000000000e+000
3.13131313131313e+003	6.12774087954964e-002,0.00000000000000e+000
3.41414141414141e+003	6.72960539421809e-002,0.00000000000000e+000
3.69696969696970e+003	7.34483257128018e-002,0.00000000000000e+000
3.97979797979798e+003	7.97488929567191e-002,0.00000000000000e+000
4.26262626262626e+003	8.62134113273430e-002,0.00000000000000e+000
4.54545454545454e+003	9.28586532925350e-002,0.00000000000000e+000
4.82828282828283e+003	9.97026533472815e-002,0.00000000000000e+000
5.11111111111111e+003	1.06764870809327e-001,0.00000000000000e+000
5.39393939393939e+003	1.14066372939534e-001,0.00000000000000e+000
5.67676767676767e+003	1.21630041547626e-001,0.00000000000000e+000
5.95959595959596e+003	1.29480806727370e-001,0.00000000000000e+000
6.24242424242424e+003	1.37645911919128e-001,0.00000000000000e+000
6.52525252525252e+003	1.46155215126090e-001,0.00000000000000e+000
6.80808080808081e+003	1.55041531813720e-001,0.00000000000000e+000
7.09090909090909e+003	1.64341025793160e-001,0.00000000000000e+000
7.37373737373737e+003	1.74093655209618e-001,0.00000000000000e+000
7.65656565656565e+003	1.84343681586923e-001,0.00000000000000e+000
7.93939393939394e+003	1.95140250647054e-001,0.00000000000000e+000
8.22222222222222e+003	2.06538054202840e-001,0.00000000000000e+000
8.50505050505050e+003	2.18598082602170e-001,0.00000000000000e+000
8.78787878787878e+003	2.31388476637643e-001,0.00000000000000e+000
9.07070707070707e+003	2.44985485968701e-001,0.00000000000000e+000
9.35353535353535e+003	2.59474537043714e-001,0.00000000000000e+000
9.63636363636363e+003	2.74951405847715e-001,0.00000000000000e+000
9.91919191919192e+003	2.91523477319917e-001,0.00000000000000e+000
1.02020202020202e+004	3.09311050519168e-001,0.00000000000000e+000
1.04848484848485e+004	3.28448611188113e-001,0.00000000000000e+000
1.07676767676768e+004	3.49085933012095e-001,0.00000000000000e+000
1.10505050505050e+004	3.71388773041926e-001,0.00000000000000e+000
1.13333333333333e+004	3.95538776783541e-001,0.00000000000000e+000
1.16161616161616e+004	4.21731977421121e-001,0.00000000000000e+000
1.18989898989899e+004	4.50174924645401e-001,0.00000000000000e+000
1.21818181818182e+004	4.81076965698599e-001,0.00000000000000e+000
1.24646464646465e+004	5.14636478553061e-001,0.00000000000000e+000
1.27474747474747e+004	5.51017907410358e-001,0.00000000000000e+000
1.30303030303030e+004	5.90315357415143e-001,0.00000000000000e+000
1.33131313131313e+004	6.32497606149558e-001,0.00000000000000e+000
1.35959595959596e+004	6.77329554228128e-001,0.00000000000000e+000
1.38787878787879e+004	7.24268160502252e-001,0.00000000000000e+000
1.41616161616162e+004	7.72339756411672e-001,0.00000000000000e+000
1.44444444444444e+004	8.20023683955178e-001,0.00000000000000e+000
1.47272727272727e+004	8.65194714045930e-001,0.00000000000000e+000
1.50101010101010e+004	9.05203228910900e-001,0.00000000000000e+000
1.52929292929293e+004	9.37169247090151e-001,0.00000000000000e+000
1.55757575757576e+004	9.58497319245352e-001,0.00000000000000e+000
1.58585858585859e+004	9.67483300855616e-001,0.00000000000000e+000
1.61414141414141e+004	9.63764667457224e-001,0.00000000000000e+000
1.64242424242424e+004	9.48391074084624e-001,0.00000000000000e+000
1.67070707070707e+004	9.23485458498349e-001,0.00000000000000e+000
1.69898989898990e+004	8.91680152700366e-001,0.00000000000000e+000
1.72727272727273e+004	8.55578994094780e-001,0.00000000000000e+000
1.75555555555555e+004	8.17404565176859e-001,0.00000000000000e+000
1.78383838383838e+004	7.78854845014691e-001,0.00000000000000e+000
1.81212121212121e+004	7.41111051175316e-001,0.00000000000000e+000
1.84040404040404e+004	7.04922151154236e-001,0.00000000000000e+000
1.86868686868687e+004	6.70710737102184e-001,0.00000000000000e+000
1.89696969696970e+004	6.38670430146396e-001,0.00000000000000e+000
1.92525252525252e+004	6.08843629709258e-001,0.00000000000000e+000
1.95353535353535e+004	5.81178598501835e-001,0.00000000000000e+000
1.98181818181818e+004	5.55569086316690e-001,0.00000000000000e+000
2.01010101010101e+004	5.31880688460118e-001,0.00000000000000e+000
2.03838383838384e+004	5.09967738786175e-001,0.00000000000000e+000
2.06666666666667e+004	4.89683722042350e-001,0.00000000000000e+000
2.09494949494949e+004	4.70887380799643e-001,0.00000000000000e+000
2.12323232323232e+004	4.53446032448175e-001,0.00000000000000e+000
2.15151515151515e+004	4.37237121241078e-001,0.00000000000000e+000
2.17979797979798e+004	4.22148684071662e-001,0.00000000000000e+000
2.20808080808081e+004	4.08079171829694e-001,0.00000000000000e+000
2.23636363636364e+004	3.94936909559329e-001,0.00000000000000e+000
2.26464646464646e+004	3.82639373960969e-001,0.00000000000000e+000
2.29292929292929e+004	3.71112398484497e-001,0.00000000000000e+000
2.32121212121212e+004	3.60289372154089e-001,0.00000000000000e+000
2.34949494949495e+004	3.50110470074882e-001,0.00000000000000e+000
2.37777777777778e+004	3.40521935777556e-001,0.00000000000000e+000
2.40606060606060e+004	3.31475424507916e-001,0.00000000000000e+000
2.43434343434343e+004	3.22927409868367e-001,0.00000000000000e+000
2.46262626262626e+004	3.14838652300054e-001,0.00000000000000e+000
2.49090909090909e+004	3.07173725739204e-001,0.00000000000000e+000
2.51919191919192e+004	2.99900597727471e-001,0.00000000000000e+000
2.54747474747475e+004	2.92990257877254e-001,0.00000000000000e+000
2.57575757575757e+004	2.86416389615078e-001,0.00000000000000e+000
2.60404040404040e+004	2.80155080374930e-001,0.00000000000000e+000
2.63232323232323e+004	2.74184565779053e-001,0.00000000000000e+000
2.66060606060606e+004	2.68485003758557e-001,0.00000000000000e+000
2.68888888888889e+004	2.63038274989217e-001,0.00000000000000e+000
2.71717171717172e+004	2.57827806425418e-001,0.00000000000000e+000
2.74545454545454e+004	2.52838415094927e-001,0.00000000000000e+000
