t,Vin,VD
0.0,-9.855254422888734,-6.818830866059476
0.001023558997881733,-9.460681282400621,-6.8156430542913835
0.002047117995763465,-9.061828190494767,-6.820994817925114
0.003070676993645197,-8.677799564592503,-6.807078108478386
0.00409423599152693,-8.290331346420675,-6.8083504538166855
0.005117794989408663,-7.897977345348725,-6.812255145840664
0.006141353987290395,-7.5105836523039935,-6.809256514335173
0.007164912985172125,-7.122665891168221,-6.805218220120194
0.007555537985172126,-6.961190893626718,-6.7956706756465115
0.007946162985172126,-6.817355847547385,-6.752976626570793
0.008336787985172126,-6.663349586449403,-6.66073351108474
0.008727412985172127,-6.514097598665603,-6.505276108697917
0.009118037985172129,-6.357186784830301,-6.35465260461427
0.009508662985172127,-6.200097878018259,-6.194375556017075
0.009899287985172128,-6.036744546100502,-6.041564863155685
0.01028991298517213,-5.887411103747416,-5.884951054691019
0.01068053798517213,-5.724214441242098,-5.7311351779829085
0.01107116298517213,-5.576495535885137,-5.567090468039526
0.01146178798517213,-5.420923715001559,-5.416491621192184
0.01185241298517213,-5.263922641811581,-5.256979400523539
0.01224303798517213,-5.098265967333422,-5.102109716276864
0.01263366298517213,-4.9443548410334115,-4.9517156232307995
0.01341491298517213,-4.628500542264082,-4.640222843393856
0.01414035941374356,-4.344910801091207,-4.341372804622419
0.01486580584231499,-4.054504954983126,-4.058205696928479
0.01559125227088641,-3.770864449961852,-3.7641892556843146
0.01631669869945784,-3.4784327367407677,-3.4605789611206585
0.01704214512802927,-3.1874353215265,-3.175522944129002
0.0177675915566007,-2.885042990556961,-2.897099619419763
0.01849303798517212,-2.6055446260090265,-2.598282894932287
0.01933009155660069,-2.2700922792328058,-2.266498604819924
0.02016714512802926,-1.9292133509091578,-1.929297711359983
0.02100419869945783,-1.5940614611893436,-1.6038117472573235
0.0218412522708864,-1.2625596880602101,-1.2665280525471874
0.02267830584231496,-0.9322747477595289,-0.9321466597676842
0.02351535941374353,-0.5900682517282032,-0.5870607675291136
0.0243524129851721,-0.2523622638588977,-0.264115815936845
0.0251336629851721,0.05914325848939995,0.05438996961974097
0.0255242879851721,0.21306019665628365,0.20592995330720273
0.0259149129851721,0.36542696107993133,0.3724043492222371
0.02630553798517209,0.5196259577550478,0.5151849209149432
0.02669616298517209,0.6732569366951471,0.6111204423811036
0.0270561832345058,0.8179054737560831,0.6640469583374123
0.02742522364492535,0.9518127504943636,0.6835294466862392
0.02776311587210142,1.0890798956610492,0.6869686117060129
0.02854436587210141,1.380108318239021,0.7011561577620903
0.02949302658638713,1.7514341809091623,0.7069039474580397
0.03044168730067284,2.105251985207142,0.7329304522130895
0.03139034801495855,2.4685835946927783,0.7359734508612849
0.03233900872924426,2.833427985501905,0.7302836002523986
0.03328766944352997,3.1893669593462954,0.7391168849935809
0.03423633015781568,3.548012118051608,0.7460728879848963
0.03518499087210139,3.913226528195739,0.7489587678458061
0.03730448857742613,4.727517003798409,0.7441675379671722
0.03942398628275086,5.537872097212059,0.751980816956343
0.04154348398807559,6.349221088976303,0.7642319896860038
0.04366298169340032,7.144136024505544,0.7655659385001123
0.04578247939872505,7.952500788229846,0.7723409601916333
0.04790197710404979,8.755865117205166,0.773710837785048
0.05002147480937452,9.551190854697431,0.7650575772587987
0.05262773824681594,8.556473978935283,0.7709245330751914
0.05523400168425736,7.557841130530591,0.7587774308476614
0.05784026512169879,6.58006964690619,0.7604093166974594
0.06044652855914021,5.577346329595098,0.7559095327980228
0.06305279199658163,4.584965481136636,0.7527624889623578
0.06565905543402306,3.5874822230122523,0.7400314167700524
0.06826531887146448,2.6038687098439794,0.7212481296424487
0.0688233545857502,2.3902910372230775,0.7287573558582268
0.06938139030003591,2.1749846302360867,0.726542126174114
0.06993942601432164,1.9751399193439834,0.7288956462332817
0.07049746172860737,1.7477707312246338,0.7232333834445042
0.07105549744289309,1.5376171447492013,0.7106126031978666
0.0716135331571788,1.3212446479180024,0.6925368356990279
0.07217156887146453,1.1087939995125136,0.6874973664580157
0.07256219387146454,0.9533596802772262,0.6797491146501038
0.07295281887146454,0.8096843379538651,0.6521520533649222
0.07334344387146455,0.6566591706128276,0.608478101383575
0.07366013227000984,0.5334969076407051,0.5344241966723249
0.07399659398851385,0.3985567968857533,0.4088695498799444
0.07425099363520786,0.29870865436973437,0.29715296535800934
0.07530992160783107,-0.11908820383174501,-0.1210313873996836
0.07614697517925965,-0.4607404521590808,-0.4597722074270853
0.07698402875068823,-0.7936799787994294,-0.792998333488024
0.07782108232211682,-1.114442336564055,-1.1269162571766027
0.0786581358935454,-1.4704080170253764,-1.458536774321705
0.07949518946497398,-1.8009346087236016,-1.795786854154493
0.08033224303640257,-2.1299935719812053,-2.141195860673522
0.08116929660783115,-2.463153715642226,-2.464779000809735
0.08189474303640258,-2.747928652348734,-2.756558237556831
0.08262018946497403,-3.042955121233905,-3.043742136889729
0.08334563589354546,-3.3398014850561535,-3.333973606448211
0.08407108232211691,-3.6233179656947927,-3.628587610821706
0.08479652875068834,-3.9147890926824314,-3.914698768401859
0.08552197517925979,-4.211038171606816,-4.215488071888032
0.08624742160783122,-4.499379245562633,-4.499015210404752
0.08702867160783123,-4.808281799596218,-4.801853875040139
0.08741929660783124,-4.970031167492602,-4.963246129399292
0.08780992160783124,-5.121738651525397,-5.120818150016365
0.08820054660783125,-5.280532473524061,-5.280421242668863
0.08859117160783125,-5.432950889946159,-5.43201370316645
0.08898179660783126,-5.590019694857686,-5.589459086665526
0.08937242160783126,-5.746279427489939,-5.752271352122304
0.08976304660783127,-5.905108419592901,-5.904719270153299
