t,VRc,Cid
5.300583610698983e-004,4.783379,1
5.317113611714335e-004,4.775499,1
5.350173613745038e-004,4.759759,1
5.416293617806446e-004,4.728468,1
5.548533625929261e-004,4.666744,1
5.813013642174890e-004,4.551899,1
6.263980884843593e-004,4.404223,1
6.744033976455834e-004,4.335473,1
6.987290738361851e-004,4.357337,1
7.166256928360771e-004,4.41098,1
7.331454933915949e-004,4.48419,1
7.484088723449452e-004,4.569075,1
7.644085906820175e-004,4.673754,1
7.884494136032329e-004,4.848402,1
8.273735830625653e-004,5.119324,1
8.868180445933014e-004,5.3886,1
9.442011503216830e-004,5.417461,1
9.676768006838368e-004,5.338376,1
1.003544408841445e-003,5.154473,1
1.031994728533268e-003,5.00998,1
1.070912683357565e-003,4.822583,1
1.099920925008006e-003,4.693152,1
1.100585959984883e-003,4.690476,1
1.101916029938637e-003,4.68546,1
1.104576169846144e-003,4.675415,1
1.109896449661160e-003,4.655457,1
1.120537009291191e-003,4.617342,1
1.141818128551252e-003,4.554464,1
1.179764009483554e-003,4.487795,1
1.213350584510809e-003,4.479198,1
1.229088926555252e-003,4.499458,1
1.244965430581067e-003,4.539139,1
1.263128216303317e-003,4.600224,1
1.286367566888035e-003,4.69396,1
1.324019649064295e-003,4.837939,1
1.383869005582660e-003,4.953601,1
1.436091386989954e-003,4.887652,1
1.466967468277270e-003,4.767382,1
1.504370292739399e-003,4.599078,1
1.544743491432839e-003,4.435952,1
1.545666142064262e-003,4.432704,1
1.547511443327108e-003,4.426667,1
1.551202045852801e-003,4.413909,1
1.558583250904186e-003,4.386318,1
1.573345661006957e-003,4.327967,1
1.602870481212498e-003,4.228208,1
1.661920121623580e-003,4.116837,1
1.695269376316836e-003,4.128288,1
1.714048520922714e-003,4.179096,1
1.729956985374417e-003,4.248201,1
1.745159067196084e-003,4.33236,1
1.763200246001551e-003,4.450782,1
1.786484699453587e-003,4.622019,1
1.824208459004919e-003,4.892151,1
1.884163816267600e-003,5.163661,1
1.954479519731812e-003,5.180408,1
1.983506655697284e-003,5.078963,1
2.019073817897068e-003,4.910085,1
2.058191990573562e-003,4.746805,1
2.058842259745393e-003,4.744546,1
2.060142798089054e-003,4.740534,1
2.062743874776377e-003,4.732121,1
2.067946028151022e-003,4.713946,1
2.078350334900313e-003,4.674072,1
2.099158948398894e-003,4.592368,1
2.140776175396057e-003,4.454272,1
2.181745599917039e-003,4.375864,1
2.207848683788662e-003,4.373409,1
2.223461538038639e-003,4.398356,1
2.241406196178000e-003,4.450312,1
2.261803218867023e-003,4.530457,1
2.284212603738295e-003,4.637434,1
2.320543842055209e-003,4.810901,1
2.378430706903846e-003,4.972888,1
2.441316671187310e-003,4.931614,1
2.472361835441167e-003,4.818446,1
2.510247663512447e-003,4.648846,1
2.553145122138402e-003,4.482035,1
2.553920176024512e-003,4.479574,1
2.555470283796732e-003,4.475272,1
2.558570499341172e-003,4.466213,1
2.564770930430052e-003,4.446639,1
2.577171792607812e-003,4.404604,1
2.601973516963332e-003,4.327337,1
2.651576965674373e-003,4.228169,1
2.690030231355651e-003,4.222031,1
2.710164461335312e-003,4.260936,1
2.725206339318032e-003,4.315431,1
2.743529592209074e-003,4.404165,1
2.762593949507473e-003,4.516109,1
2.785498705955899e-003,4.66908,1
2.822618722304835e-003,4.910588,1
2.881679615791958e-003,5.146441,1
2.953428915360819e-003,5.141102,1
2.984371924278622e-003,5.030884,1
3.021983660927463e-003,4.85497,1
3.064346197806268e-003,4.682666,1
3.065032538787003e-003,4.680389,1
3.069150584671409e-003,4.668177,1
3.074641312517285e-003,4.650557,1
3.085622768209036e-003,4.612855,1
3.107585679592538e-003,4.54031,1
3.151511502359541e-003,4.433607,1
3.192460765215211e-003,4.396177,1
3.212089102735702e-003,4.413889,1
3.227519249550348e-003,4.451678,1
3.244615587440276e-003,4.512193,1
3.262998068303586e-003,4.594477,1
3.286155919785781e-003,4.715019,1
3.323678456860606e-003,4.902703,1
3.383336102949580e-003,5.075712,1
3.439442346918424e-003,5.038268,1
3.468145377470981e-003,4.930661,1
3.503994989494038e-003,4.76393,1
3.543656287726258e-003,4.596503,1
3.544456472538527e-003,4.593525,1
3.546056842163065e-003,4.587939,1
3.549257581412140e-003,4.576123,1
3.555659059910290e-003,4.550498,1
3.568462016906589e-003,4.495667,1
3.594067930899188e-003,4.388348,1
3.630358128873160e-003,4.275268,1
3.684347046142672e-003,4.203619,1
3.707655164481925e-003,4.223139,1
3.723315887109138e-003,4.268041,1
3.741229196703045e-003,4.343788,1
3.761737265995133e-003,4.453353,1
3.784105324725474e-003,4.593051,1
3.820370704209112e-003,4.82004,1
3.878159270288704e-003,5.048048,1
3.950147775397414e-003,5.048766,1
3.981112237183699e-003,4.941886,1
4.018600238275936e-003,4.771036,1
4.061835460079507e-003,4.602664,1
4.062506946276859e-003,4.600604,1
4.066535863460968e-003,4.58988,1
4.071907753039781e-003,4.57426,1
4.082651532197406e-003,4.5405,1
4.104139090512658e-003,4.475032,1
4.147114207143161e-003,4.380289,1
4.188917906844285e-003,4.351134,1
4.209342871025906e-003,4.374321,1
4.224586933980398e-003,4.416134,1
4.242775147785193e-003,4.487027,1
4.262313097369470e-003,4.582281,1
4.285041929183900e-003,4.710501,1
4.321881962979370e-003,4.912444,1
4.380526823375758e-003,5.105313,1
4.441441167277497e-003,5.079749,1
4.470461320771471e-003,4.973539,1
4.506729142772093e-003,4.804404,1
4.547673694278662e-003,4.633349,1
4.548428305849176e-003,4.630635,1
4.549937528990205e-003,4.625651,1
4.552955975272263e-003,4.615129,1
4.558992867836379e-003,4.592219,1
4.571066652964611e-003,4.542176,1
4.595214223221074e-003,4.444818,1
4.643509363734001e-003,4.301215,1
4.688600704524122e-003,4.249193,1
4.709108778645440e-003,4.269406,1
4.724410526276974e-003,4.312079,1
4.742560407818825e-003,4.38548,1
4.762233139334608e-003,4.486049,1
4.784911881336828e-003,4.621547,1
4.821672168953467e-003,4.839202,1
4.880198391436624e-003,5.050506,1
4.952031280661586e-003,5.033676,1
4.984203831358808e-003,4.919859,1
5.022981551390604e-003,4.743906,1
5.067551846906549e-003,4.571035,1
5.068248289971945e-003,4.568907,1
5.072426948364321e-003,4.557924,1
5.077998492887489e-003,4.542229,1
5.089141581933824e-003,4.509321,1
5.111427760026495e-003,4.449774,1
5.156000116211837e-003,4.374792,1
5.193599653956877e-003,4.370814,1
5.212808163245331e-003,4.40358,1
5.228414098101168e-003,4.453245,1
5.244814985781163e-003,4.522748,1
5.263072250041290e-003,4.616583,1
5.286276555041965e-003,4.751505,1
5.323872935521764e-003,4.959342,1
5.383639881260874e-003,5.15627,1
5.439895611468758e-003,5.132306,1
5.467739355848489e-003,5.029442,1
5.503538547565192e-003,4.85957,1
5.544834373520607e-003,4.678773,1
5.545592287748025e-003,4.675786,1
5.547108116202863e-003,4.670109,1
5.550139773112537e-003,4.65816,1
5.556203086931884e-003,4.632567,1
5.568329714570580e-003,4.579156,1
5.592561435215012e-003,4.47408,1
5.615121239862349e-003,4.388896,1
5.651965314719945e-003,4.296097,1
5.689888821307504e-003,4.266146,1
5.710059951866856e-003,4.288607,1
5.725127525391133e-003,4.330367,1
5.743433557469211e-003,4.40341,1
5.762558204571932e-003,4.499607,1
5.785440571894127e-003,4.633853,1
5.822524964883918e-003,4.847713,1
5.881532967698239e-003,5.051033,1
5.953202723665500e-003,5.024994,1
5.986292272742196e-003,4.906334,1
6.025739661928476e-003,4.727908,1
6.071121521197533e-003,4.552611,1
6.071829568585470e-003,4.55046,1
6.076077852913096e-003,4.539455,1
6.081742232016596e-003,4.523918,1
6.093070990223597e-003,4.491987,1
6.115728506637598e-003,4.436921,1
6.161043539465600e-003,4.375069,1
6.196181486377616e-003,4.383472,1
6.214727042748701e-003,4.421176,1
6.230800635306253e-003,4.476405,1
6.246253867506444e-003,4.544978,1
6.263607414637645e-003,4.636911,1
6.287146792874579e-003,4.776197,1
6.325275477216810e-003,4.987633,1
6.385828681146069e-003,5.185845,1
6.439432658509374e-003,5.160849,1
6.466684082746545e-003,5.058947,1
6.502033473213461e-003,4.889469,1
6.542759796682325e-003,4.706801,1
6.543525524133172e-003,4.703644,1
6.545056979034868e-003,4.697546,1
6.548119888838258e-003,4.68472,1
6.554245708445039e-003,4.657542,1
6.566497347658601e-003,4.602315,1
6.585099349496141e-003,4.520399,1
6.587333522444188e-003,4.510917,1
6.591801868340282e-003,4.492448,1
6.600738560132471e-003,4.456484,1
6.618611943716849e-003,4.393959,1
6.654358710885604e-003,4.310467,1
6.689808029084557e-003,4.285983,1
6.710000250042299e-003,4.30898,1
6.725082505355499e-003,4.350208,1
6.743378705552492e-003,4.422242,1
6.762537787556096e-003,4.517331,1
6.785407366338663e-003,4.649638,1
6.822471410323545e-003,4.859888,1
6.881449194949754e-003,5.062232,1
6.945930397863656e-003,5.039444,1
6.975908688253296e-003,4.930832,1
7.012592906657817e-003,4.761949,1
7.053298558516281e-003,4.59756,1
7.054031184796226e-003,4.595101,1
7.055496437356116e-003,4.59073,1
7.058426942475897e-003,4.581525,1
7.064287952715459e-003,4.561574,1
7.076009973194584e-003,4.518109,1
7.099454014152833e-003,4.433416,1
7.146342096069331e-003,4.30824,1
7.188607940256829e-003,4.266944,1
7.209114117548245e-003,4.288543,1
7.224414549192609e-003,4.331128,1
7.242565304254864e-003,4.404067,1
7.262234962607478e-003,4.503753,1
7.284914846822936e-003,4.63781,1
7.321676953056864e-003,4.852359,1
7.380205881780069e-003,5.05846,1
7.452269114390622e-003,5.036766,1
7.484913397976466e-003,4.920443,1
7.524099879221021e-003,4.742712,1
7.569274920519061e-003,4.567754,1
7.569978308283756e-003,4.565612,1
