time	V(n001)	V(n002)
2.164027678721008e-003	2.466920e+000	1.796539e+000
2.184954018006721e-003	2.745628e+000	2.071169e+000
2.205880357292436e-003	3.011950e+000	2.334005e+000
2.226806696578149e-003	3.265885e+000	2.585047e+000
2.247733035863863e-003	3.507434e+000	2.824294e+000
2.268659375149577e-003	3.736596e+000	3.051747e+000
2.307721875149576e-003	4.123064e+000	3.435288e+000
2.346784375149575e-003	4.438792e+000	3.748639e+000
2.385846875149574e-003	4.683781e+000	3.991801e+000
2.424909375149574e-003	4.858029e+000	4.164773e+000
2.463971875149573e-003	4.961539e+000	4.267555e+000
2.503034375149572e-003	4.994308e+000	4.300149e+000
2.542096875149571e-003	4.956338e+000	4.262552e+000
2.574183928720999e-003	4.859423e+000	4.166090e+000
2.606270982292427e-003	4.718091e+000	4.025657e+000
2.638358035863855e-003	4.532343e+000	3.841256e+000
2.670445089435283e-003	4.302179e+000	3.612884e+000
2.702532143006711e-003	4.027599e+000	3.340544e+000
2.734619196578139e-003	3.708603e+000	3.024233e+000
2.766706250149566e-003	3.345191e+000	2.663954e+000
2.784842410863852e-003	3.126190e+000	2.446819e+000
2.802978571578137e-003	2.898966e+000	2.222090e+000
2.821114732292422e-003	2.663518e+000	1.989766e+000
2.839250893006707e-003	2.419848e+000	1.749848e+000
2.857387053720993e-003	2.167954e+000	1.502335e+000
2.875523214435278e-003	1.907836e+000	1.247227e+000
2.893659375149564e-003	1.639496e+000	9.845251e-001
2.932721875149563e-003	1.048951e+000	4.169177e-001
2.942487500149563e-003	8.984969e-001	2.779527e-001
2.952253125149562e-003	7.471967e-001	1.479516e-001
2.962018750149562e-003	5.951934e-001	5.089140e-002
2.971784375149562e-003	4.426298e-001	7.737648e-003
2.981550000149562e-003	2.896497e-001	6.728875e-005
2.991315625149562e-003	1.363969e-001	1.836568e-007
3.010846875149561e-003	-1.703493e-001	-1.790059e-010
3.023402678720989e-003	-3.680344e-001	-3.772246e-010
3.035958482292418e-003	-5.643894e-001	-5.739822e-010
3.048514285863846e-003	-7.594142e-001	-7.692787e-010
3.061070089435274e-003	-9.531089e-001	-9.631140e-010
3.073625893006702e-003	-1.145473e+000	-1.155488e-009
3.086181696578131e-003	-1.336508e+000	-1.346401e-009
3.098737500149559e-003	-1.526212e+000	-1.535853e-009
3.122454018006701e-003	-1.880830e+000	-1.890387e-009
3.146170535863844e-003	-2.220543e+000	-2.230020e-009
3.169887053720986e-003	-2.545352e+000	-2.554753e-009
3.193603571578129e-003	-2.855256e+000	-2.864584e-009
3.217320089435271e-003	-3.150257e+000	-3.159515e-009
3.241036607292414e-003	-3.430353e+000	-3.439545e-009
3.264753125149556e-003	-3.695544e+000	-3.704675e-009
3.308000893006697e-003	-4.127527e+000	-4.136556e-009
3.351248660863840e-003	-4.472302e+000	-4.481249e-009
3.394496428720981e-003	-4.729867e+000	-4.738754e-009
3.437744196578124e-003	-4.900224e+000	-4.909071e-009
3.480991964435265e-003	-4.983371e+000	-4.992199e-009
3.524239732292408e-003	-4.979311e+000	-4.988139e-009
3.567487500149549e-003	-4.888041e+000	-4.896891e-009
3.599574553720977e-003	-4.751041e+000	-4.759923e-009
3.631661607292405e-003	-4.571632e+000	-4.580556e-009
3.663748660863833e-003	-4.349813e+000	-4.358790e-009
3.695835714435261e-003	-4.085585e+000	-4.094624e-009
3.727922768006689e-003	-3.778947e+000	-3.788058e-009
3.760009821578117e-003	-3.429900e+000	-3.439093e-009
3.792096875149544e-003	-3.038443e+000	-3.047728e-009
3.811628125149544e-003	-2.786656e+000	-2.796001e-009
3.831159375149544e-003	-2.526914e+000	-2.536319e-009
3.850690625149543e-003	-2.259215e+000	-2.268684e-009
3.870221875149543e-003	-1.983561e+000	-1.993094e-009
3.889753125149543e-003	-1.699952e+000	-1.709551e-009
3.909284375149542e-003	-1.408386e+000	-1.418055e-009
3.928815625149542e-003	-1.108865e+000	-1.118604e-009
3.938581250149542e-003	-9.584305e-001	-9.949049e-010
3.948346875149542e-003	-8.074510e-001	-8.536612e-010
3.958112500149541e-003	-6.559263e-001	-6.948726e-010
3.967878125149541e-003	-5.038562e-001	-5.185392e-010
3.977643750149541e-003	-3.512409e-001	-3.246609e-010
3.987409375149541e-003	-1.980803e-001	-1.132377e-010
3.997175000149541e-003	-4.437441e-002	1.157302e-010
4.006940625149540e-003	1.090144e-001	6.385157e-008
4.016706250149540e-003	2.623007e-001	2.358244e-005
4.026471875149540e-003	4.153401e-001	4.422758e-003
4.036237500149540e-003	5.679886e-001	3.873875e-002
4.046003125149539e-003	7.201025e-001	1.272958e-001
4.055768750149539e-003	8.715387e-001	2.537696e-001
4.065534375149539e-003	1.022155e+000	3.918265e-001
4.073904910863824e-003	1.150712e+000	5.137784e-001
4.082275446578110e-003	1.278254e+000	6.354551e-001
4.090645982292395e-003	1.404783e+000	7.568566e-001
4.099016518006681e-003	1.530298e+000	8.779829e-001
4.107387053720967e-003	1.654798e+000	9.988341e-001
4.115757589435253e-003	1.778285e+000	1.119410e+000
4.124128125149538e-003	1.900757e+000	1.239711e+000
4.145054464435252e-003	2.203404e+000	1.537202e+000
4.165980803720965e-003	2.493557e+000	1.822776e+000
4.186907143006680e-003	2.771216e+000	2.096433e+000
4.207833482292393e-003	3.036381e+000	2.358172e+000
4.228759821578107e-003	3.289051e+000	2.607994e+000
4.249686160863820e-003	3.529228e+000	2.845899e+000
4.270612500149535e-003	3.756911e+000	3.071887e+000
4.311070089435248e-003	4.153110e+000	3.465112e+000
4.351527678720961e-003	4.473043e+000	3.782653e+000
4.391985268006675e-003	4.716710e+000	4.024510e+000
4.432442857292388e-003	4.884110e+000	4.190683e+000
4.472900446578102e-003	4.975243e+000	4.281172e+000
4.513358035863816e-003	4.990110e+000	4.295978e+000
4.553815625149529e-003	4.928711e+000	4.235099e+000
4.584507589435243e-003	4.819855e+000	4.126786e+000
4.615199553720956e-003	4.670790e+000	3.978682e+000
4.645891518006670e-003	4.481516e+000	3.790788e+000
