t,Vs,Vp,VRc
0.0,-1.6894524999644662,0.8664758626651038,0.5144400318966268
9.76562500000326e-07,-1.579651581014994,0.9241821740437808,0.44758443918128493
2.929687500000111e-06,-1.2040764984228995,1.0919662299530148,0.16338838224836374
6.835937499999681e-06,-0.37512482109400813,1.6476310842545896,0.18718445081030138
1.464843749999969e-05,1.3146277417789465,2.5212552150615113,0.3129690344296165
1.586914062499945e-05,1.4973854185910742,2.6787957101345032,0.3673459898992659
1.831054687499983e-05,1.667175276926162,2.9001391277591946,0.4243609229569491
2.319335937499972e-05,1.8440504979857322,3.468172159644298,0.5436038909022218
3.295898437499951e-05,2.4319377437396184,4.6034577422962695,1.2404411687273127
4.272460937499931e-05,2.9978048157657513,5.589439612464134,1.7084619035818525
5.24902343749991e-05,3.6690064310787296,6.507261286730483,2.4173716123035387
6.225585937499889e-05,4.251330290221033,7.282231219663916,3.0306388029223177
7.202148437499868e-05,4.892054784679648,7.893190673439315,3.7509806368650973
8.178710937499847e-05,5.547650794072217,8.52097771807022,4.362853391877373
9.155273437499828e-05,6.0440419837857755,8.931028161433579,4.810348396671474
0.0001013183593749981,6.5525959858582175,9.231571710399281,5.222594610321731
0.0001110839843749979,6.84211315195573,9.384284436556298,5.7157230207366165
0.0001208496093749976,7.249521509063481,9.388202088670777,5.934399388428575
0.0001306152343749974,7.419463407357058,9.288139659878098,6.129941660592932
0.0001403808593749972,7.542922180983038,8.968275557669042,6.268428352868649
0.000150146484374997,7.3638718194063655,8.661891609736367,6.200218849885526
0.0001599121093749968,7.338526808224722,8.146216794247293,6.000361360149417
0.0001696777343749966,7.117042473793411,7.5439434629668085,5.826663021278776
0.0001794433593749964,6.680600738623674,6.667361509039245,5.420392912017371
0.0001892089843749962,6.299651262105407,5.870347445981972,5.072310437128193
0.000198974609374996,5.747615131226519,4.957379938010291,4.41046529733828
0.0002087402343749958,5.1413040641358085,3.9551737608626443,3.8910375879460144
0.0002185058593749956,4.402733909189298,2.8640591709625456,3.1215408889439744
0.0002282714843749954,3.590994064076733,1.7646430401769657,2.400680367385431
0.0002380371093749951,2.780093926508091,0.6276902988914929,1.6047881969262907
0.0002478027343749949,1.6755122378126657,-0.5390859058583831,0.7073706359967503
0.0002575683593749947,0.23153362969180158,-1.689043510181407,0.3170354191635947
0.0002673339843749945,-1.5783625496719313,-2.8140277800795976,0.3769343827765397
0.0002685546874999943,-1.662418228089658,-2.9831600609384994,0.5896301555778374
0.0002709960937499947,-1.8166597950790824,-3.242434095562066,0.5720526966569048
0.0002758789062499946,-1.9115983006574033,-3.736425512316021,0.8174460404285425
0.0002856445312499943,-2.5723279641052588,-4.86953000769949,1.280954677077477
0.0002954101562499941,-3.133803668881899,-5.778930949777029,1.9549111118312432
0.0003051757812499939,-3.7221819104903546,-6.55449151112521,2.651669266379583
0.0003149414062499937,-4.549744882539901,-7.436819884468247,3.251848389832781
0.0003247070312499935,-5.139367186944068,-8.10795865721951,3.866880409434456
0.0003344726562499933,-5.655989269110197,-8.592570173395693,4.445637380622457
0.0003442382812499931,-6.198808019518523,-9.0281012775051,4.856563779582788
0.0003540039062499929,-6.665906937684091,-9.369852346791214,5.403000893815612
0.0003637695312499927,-7.127601940886177,-9.3685007283765,5.7259242442484135
0.0003721898677452873,-7.195509096907491,-9.393124776659958,6.004253939902669
0.0003814551589692078,-7.498558345974141,-9.228611160249823,6.110323396558739
0.0003912207839692075,-7.442266218886039,-8.955027424155725,6.277641275953619
0.0004009864089692073,-7.4468758908853045,-8.629077787182586,6.196980494376042
0.0004107520339692071,-7.372664248013149,-8.088645340061163,5.980819684689082
0.0004205176589692069,-7.055145022851033,-7.438459240449059,5.7214580731253575
0.0004302832839692067,-6.6972245689764645,-6.781356636918096,5.395753421717612
0.0004400489089692065,-6.261153858466502,-5.774403694692903,4.967970953706994
0.0004498145339692063,-5.647353252464188,-4.808135262596579,4.333371287935251
0.0004595801589692061,-5.074526596933799,-3.7862383795115986,3.785110399392764
0.0004693457839692059,-4.369694801196627,-2.797645992456777,3.132988498987025
0.0004791114089692057,-3.4968081259385237,-1.5779115027496293,2.344777828975717
0.0004888770339692055,-2.7143246872453424,-0.47952647430265805,1.5325467033423195
0.0004986426589692053,-1.511662035792896,0.7098216572395715,0.70640588892717
0.0005084082839692052,0.07512039363436925,1.7692195256546157,0.23503661716119933
0.0005181739089692048,1.3353013273557501,2.938696166423892,0.48784419059030687
0.0005279395339692046,2.086757403399578,4.009137084406528,0.8356360468154296
0.0005377051589692044,2.5775880248251446,5.057834574601648,1.3867299997365574
0.0005474707839692042,3.215403307121095,5.967737638101036,1.9765460587286743
0.000557236408969204,3.9550474162902303,6.929139651956219,2.644778825145464
0.0005670020339692038,4.625514513571189,7.582758052158534,3.384229919965597
0.0005767676589692036,5.221882855277124,8.296932294401385,3.8909837522652624
0.0005865332839692034,5.79420117696605,8.694321366230366,4.639159722651534
0.0005962989089692032,6.325096820873534,9.04358240360761,5.085224542620903
0.000606064533969203,6.6736600424777555,9.3592955505246,5.477557805235145
0.0006158301589692028,7.1102084539447885,9.34465040236372,5.82254762937462
0.0006237044975802124,7.240430991479352,9.448882693530917,5.964280963779035
0.0006320184498023219,7.492950814781697,9.261688940873373,6.189616937748564
0.0006417840748023217,7.509602597880794,8.956943203406105,6.253798588782444
0.0006515496998023215,7.4086781323323105,8.545596233621962,6.159583031336858
0.0006613153248023213,7.2565738163795155,7.973129374848945,5.967616459787796
0.0006710809498023211,7.064030910833178,7.290448067373203,5.670855965990604
