t,Vin,VR
0.0,-0.005120485119751645,0.00986358552273575
1.280000014958205e-05,0.16120050680559453,0.028945350763783045
2.256562514958205e-05,0.369843222626863,-0.01651394948208874
3.233125014958205e-05,0.49503837227455105,0.007626591356923349
4.209687514958205e-05,0.6567255144780774,0.0897210663588487
5.186250014958206e-05,0.8126692890509521,0.1875838796426899
6.162812514958205e-05,0.9373066141978662,0.3195251137635179
9.092500014958204e-05,1.391801377892917,0.7506031777372614
0.0001076660715781535,1.6591357271910983,0.9783314116676692
0.0001244071430067249,1.9043806739197482,1.2687284091971787
0.0001411482144352964,2.1399859013421727,1.4825439320487863
0.0001578892858638678,2.409541025088528,1.689162906406061
0.0001746303572924392,2.648131654549607,1.8870315389316301
0.0001913714287210107,2.8430697529460396,2.1756862265014574
0.0002081125001495821,3.053995705969436,2.396433452564853
0.0002374093751495821,3.420601171661812,2.701792678506911
0.0002667062501495822,3.7396095946983405,3.047651580591702
0.0002960031251495822,4.0484506840928605,3.324516937954571
0.0003253000001495822,4.2520524713248555,3.599353354163957
0.0003545968751495822,4.474074035724952,3.7921505448728676
0.0003838937501495823,4.644281945571043,3.9555687331171816
0.0004131906251495822,4.828289419567228,4.105199636438147
0.0004564383930067251,4.9466628506648345,4.267063017237067
0.0004996861608638681,4.977539651190436,4.2895781837779055
0.0005429339287210109,4.948131165704666,4.242277046770564
0.000586181696578154,4.813387101798879,4.137474439286173
0.0006294294644352968,4.622414239892555,3.911461577835023
0.0006726772322924396,4.277161299109147,3.613368145286829
0.0007159250001495825,3.9198978308258674,3.2479867358329555
0.0007368513394352968,3.66852887272014,2.9851066194047164
0.0007577776787210111,3.449621472220536,2.7741876439740154
0.0007787040180067254,3.232934447262983,2.5590904739950857
0.0007996303572924397,2.941991429474145,2.270325563264186
0.000820556696578154,2.695875920340599,1.995448848326976
0.0008414830358638684,2.3546388513922585,1.7067539144580628
0.0008624093751495826,2.103105230790828,1.446472830661682
0.0008721750001495826,1.9328139624581009,1.3285648888382127
0.0008819406251495826,1.8757921133220081,1.158204784132915
0.0008917062501495826,1.6932256229568943,0.9780201799635796
0.0009014718751495826,1.5105166115422446,0.8617899541470765
0.0009112375001495826,1.3913516090449474,0.7709336021480706
0.0009210031251495826,1.2361452225845928,0.6022779253094732
0.0009307687501495828,1.0725823169780357,0.46567841419099626
0.0009405343751495828,0.9331772955451874,0.3268369999378936
0.0009503000001495828,0.799548590141761,0.20180399138680355
0.0009600656251495828,0.6379170100027879,0.03962586453156654
0.0009698312501495828,0.4827135565766349,-0.009201740590051192
0.000979596875149583,0.3279046721346821,-0.03697282686317083
0.0009893625001495827,0.1980327709482517,-0.021049123784155705
0.001018659375149583,-0.32919397152723084,-0.01684951634363667
0.00103400535729244,-0.484758257489864,0.01940082915941369
0.001049351339435297,-0.7630887659009205,-0.016715022946700256
0.001064697321578154,-0.9921807145426407,-0.00437181968771203
0.001080043303721011,-1.2563056523553278,0.003808961456031957
0.001095389285863869,-1.4940545794966453,0.017790573668069392
0.001110735268006726,-1.7214238707930394,-0.0024762931799493845
0.001126081250149583,-1.9104400508195458,0.016806697510265554
0.00115119285729244,-2.251887888699172,-0.022104323152924897
0.001176304464435297,-2.6206369065188477,-0.00335769930997607
0.001201416071578154,-2.9693318771100805,0.050866444261060476
0.001226527678721012,-3.264654494130144,0.017169432285378625
0.001251639285863869,-3.5093227158257463,0.014437082597914574
0.001276750893006726,-3.8169523703406596,-0.018922690862661278
0.001301862500149583,-4.029751208203709,0.02164429199045979
0.001361851339435297,-4.550342624628035,0.022051179186335607
0.001421840178721012,-4.834113428900919,0.01711786396042219
0.001481829018006726,-4.995424523881846,0.020140608854190445
0.00154181785729244,-4.942701343662141,-0.036685803744495406
0.001601806696578155,-4.759512552660726,-0.04109856970344502
0.001661795535863869,-4.360993593599125,-0.0030476465207681723
0.001721784375149583,-3.874264953801016,0.015683875618562184
0.001745500893006726,-3.5919390907809077,-0.00402939453785762
0.001769217410863869,-3.297486507090818,-0.027441041531961106
0.001792933928721012,-3.05246428814098,-0.014960825892594924
0.001816650446578155,-2.7262839730302226,0.003353387190881491
0.001840366964435298,-2.430010861698756,0.0032729465791275342
0.001864083482292441,-2.0911245496635598,-0.016827877478357768
0.001887800000149584,-1.7141990783847787,0.010096075044518949
