Freq.	(V(n002)-V(n007))/(V(n006))
4.80000000000000e+002	9.96604535709170e-007,6.60894239447689e-001
4.90000000000000e+002	1.03856227877574e-006,6.74662869436118e-001
5.00000000000000e+002	1.08138512992764e-006,6.88431499424543e-001
5.10000000000000e+002	1.12507308911470e-006,7.02200129412963e-001
5.20000000000000e+002	1.16962615648789e-006,7.15968759401380e-001
5.30000000000000e+002	1.21504433188849e-006,7.29737389389793e-001
5.40000000000000e+002	1.26132761544769e-006,7.43506019378201e-001
5.50000000000000e+002	1.30847600712029e-006,7.57274649366605e-001
5.60000000000000e+002	1.35648950690669e-006,7.71043279355004e-001
5.70000000000000e+002	1.40536811485297e-006,7.84811909343399e-001
5.80000000000000e+002	1.45511183069555e-006,7.98580539331789e-001
5.90000000000000e+002	1.50572065479382e-006,8.12349169320174e-001
6.00000000000000e+002	1.55719458715312e-006,8.26117799308554e-001
6.10000000000000e+002	1.60953362724711e-006,8.39886429296931e-001
6.20000000000000e+002	1.66273777570532e-006,8.53655059285301e-001
6.30000000000000e+002	1.71680703209271e-006,8.67423689273667e-001
6.40000000000000e+002	1.77174139679699e-006,8.81192319262027e-001
6.50000000000000e+002	1.82754086951882e-006,8.94960949250382e-001
6.60000000000000e+002	1.88420545042633e-006,9.08729579238732e-001
6.70000000000000e+002	1.94173513928924e-006,9.22498209227077e-001
6.80000000000000e+002	2.00012993627815e-006,9.36266839215416e-001
6.90000000000000e+002	2.05938984116524e-006,9.50035469203750e-001
7.00000000000000e+002	2.11951485452325e-006,9.63804099192077e-001
7.10000000000000e+002	2.18050497572714e-006,9.77572729180399e-001
7.20000000000000e+002	2.24236020544092e-006,9.91341359168716e-001
7.30000000000000e+002	2.30508054286438e-006,1.00510998915703e+000
7.40000000000000e+002	2.36866598848636e-006,1.01887861914533e+000
7.50000000000000e+002	2.43311654208642e-006,1.03264724913363e+000
7.60000000000000e+002	2.49843220393382e-006,1.04641587912192e+000
7.70000000000000e+002	2.56461297394379e-006,1.06018450911021e+000
7.80000000000000e+002	2.63165885203280e-006,1.07395313909849e+000
