Freq.	(V(n002)-V(n007))/(V(n006))
4.80000000000000e+002	9.96604535709170e-007,6.60894239447689e-001
4.90000000000000e+002	1.03856227877574e-006,6.74662869436118e-001
5.00000000000000e+002	1.08138512992764e-006,6.88431499424543e-001
5.10000000000000e+002	1.12507308911470e-006,7.02200129412963e-001
5.20000000000000e+002	1.16962615648789e-006,7.15968759401380e-001
5.30000000000000e+002	1.21504433188849e-006,7.29737389389793e-001
5.40000000000000e+002	1.26132761544769e-006,7.43506019378201e-001
5.50000000000000e+002	1.30847600712029e-006,7.57274649366605e-001
5.60000000000000e+002	1.35648950690669e-006,7.71043279355004e-001
5.70000000000000e+002	1.40536811485297e-006,7.84811909343399e-001
5.80000000000000e+002	1.45511183069555e-006,7.98580539331789e-001
5.90000000000000e+002	1.50572065479382e-006,8.12349169320174e-001
6.00000000000000e+002	1.55719458715312e-006,8.26117799308554e-001
6.10000000000000e+002	1.60953362724711e-006,8.39886429296931e-001
6.20000000000000e+002	1.66273777570532e-006,8.53655059285301e-001
6.30000000000000e+002	1.71680703209271e-006,8.67423689273667e-001
6.40000000000000e+002	1.77174139679699e-006,8.81192319262027e-001
6.50000000000000e+002	1.82754086951882e-006,8.94960949250382e-001
6.60000000000000e+002	1.88420545042633e-006,9.08729579238732e-001
6.70000000000000e+002	1.94173513928924e-006,9.22498209227077e-001
6.80000000000000e+002	2.00012993627815e-006,9.36266839215416e-001
6.90000000000000e+002	2.05938984116524e-006,9.50035469203750e-001
7.00000000000000e+002	2.11951485452325e-006,9.63804099192077e-001
7.10000000000000e+002	2.18050497572714e-006,9.77572729180399e-001
7.20000000000000e+002	2.24236020544092e-006,9.91341359168716e-001
7.30000000000000e+002	2.30508054286438e-006,1.00510998915703e+000
7.40000000000000e+002	2.36866598848636e-006,1.01887861914533e+000
7.50000000000000e+002	2.43311654208642e-006,1.03264724913363e+000
7.60000000000000e+002	2.49843220393382e-006,1.04641587912192e+000
7.70000000000000e+002	2.56461297394379e-006,1.06018450911021e+000
7.80000000000000e+002	2.63165885203280e-006,1.07395313909849e+000
7.90000000000000e+002	2.69956983842939e-006,1.08772176908676e+000
8.00000000000000e+002	2.76834593234195e-006,1.10149039907503e+000
8.10000000000000e+002	2.83798713480085e-006,1.11525902906329e+000
8.20000000000000e+002	2.90849344523897e-006,1.12902765905154e+000
8.30000000000000e+002	2.97986486362334e-006,1.14279628903979e+000
8.40000000000000e+002	3.05210139049951e-006,1.15656491902803e+000
8.50000000000000e+002	3.12520302543729e-006,1.17033354901627e+000
8.60000000000000e+002	3.19916976800771e-006,1.18410217900449e+000
8.70000000000000e+002	3.27400161911530e-006,1.19787080899271e+000
8.80000000000000e+002	3.34969857820030e-006,1.21163943898092e+000
8.90000000000000e+002	3.42626064545918e-006,1.22540806896913e+000
9.00000000000000e+002	3.50368782082316e-006,1.23917669895733e+000
9.10000000000000e+002	3.58198010422467e-006,1.25294532894552e+000
9.20000000000000e+002	3.66113749559741e-006,1.26671395893370e+000
9.30000000000000e+002	3.74115999532037e-006,1.28048258892188e+000
9.40000000000000e+002	3.82204760328529e-006,1.29425121891005e+000
9.50000000000000e+002	3.90380031854135e-006,1.30801984889821e+000
9.60000000000000e+002	3.98641814280353e-006,1.32178847888636e+000
9.70000000000000e+002	4.06990107467937e-006,1.33555710887451e+000
9.80000000000000e+002	4.15424911482048e-006,1.34932573886264e+000
9.90000000000000e+002	4.23946226361325e-006,1.36309436885077e+000
1.00000000000000e+003	4.32554051966892e-006,1.37686299883889e+000
1.01000000000000e+003	4.41248388382043e-006,1.39063162882701e+000
1.02000000000000e+003	4.50029235645785e-006,1.40440025881511e+000
1.03000000000000e+003	4.58896593717311e-006,1.41816888880321e+000
1.04000000000000e+003	4.67850462573702e-006,1.43193751879130e+000
1.05000000000000e+003	4.76890842272098e-006,1.44570614877938e+000
1.06000000000000e+003	4.86017732772062e-006,1.45947477876745e+000
1.07000000000000e+003	4.95231134033278e-006,1.47324340875551e+000
1.08000000000000e+003	5.04531046175430e-006,1.48701203874356e+000
1.09000000000000e+003	5.13917469131802e-006,1.50078066873161e+000
1.10000000000000e+003	5.23390402844688e-006,1.51454929871964e+000
1.11000000000000e+003	5.32949847380845e-006,1.52831792870767e+000
1.12000000000000e+003	5.42595802753866e-006,1.54208655869569e+000
1.13000000000000e+003	5.52328268897529e-006,1.55585518868370e+000
1.14000000000000e+003	5.62147245914490e-006,1.56962381867170e+000
1.15000000000000e+003	5.72052733712128e-006,1.58339244865969e+000
1.16000000000000e+003	5.82044732268999e-006,1.59716107864767e+000
1.17000000000000e+003	5.92123241670365e-006,1.61092970863564e+000
1.18000000000000e+003	6.02288261886145e-006,1.62469833862360e+000
1.19000000000000e+003	6.12539792930795e-006,1.63846696861155e+000
1.20000000000000e+003	6.22877834801123e-006,1.65223559859950e+000
1.21000000000000e+003	6.33302387458540e-006,1.66600422858743e+000
1.22000000000000e+003	6.43813450900102e-006,1.67977285857535e+000
1.23000000000000e+003	6.54411025194046e-006,1.69354148856327e+000
1.24000000000000e+003	6.65095110275503e-006,1.70731011855117e+000
1.25000000000000e+003	6.75865706124136e-006,1.72107874853906e+000
1.26000000000000e+003	6.86722812852958e-006,1.73484737852694e+000
1.27000000000000e+003	6.97666430335299e-006,1.74861600851482e+000
1.28000000000000e+003	7.08696558693298e-006,1.76238463850268e+000
1.29000000000000e+003	7.19813197827176e-006,1.77615326849053e+000
1.30000000000000e+003	7.31016347743855e-006,1.78992189847837e+000
1.31000000000000e+003	7.42306008485911e-006,1.80369052846620e+000
1.32000000000000e+003	7.53682180078276e-006,1.81745915845402e+000
1.33000000000000e+003	7.65144862457190e-006,1.83122778844183e+000
1.34000000000000e+003	7.76694055638949e-006,1.84499641842963e+000
1.35000000000000e+003	7.88329759666620e-006,1.85876504841742e+000
1.36000000000000e+003	8.00051974467929e-006,1.87253367840519e+000
1.37000000000000e+003	8.11860700095069e-006,1.88630230839296e+000
1.38000000000000e+003	8.23755936591475e-006,1.90007093838071e+000
1.39000000000000e+003	8.35737683743133e-006,1.91383956836846e+000
1.40000000000000e+003	8.47805941851298e-006,1.92760819835619e+000
1.41000000000000e+003	8.59960710666673e-006,1.94137682834391e+000
1.42000000000000e+003	8.72201990366411e-006,1.95514545833162e+000
1.43000000000000e+003	8.84529780719228e-006,1.96891408831931e+000
1.44000000000000e+003	8.96944082097923e-006,1.98268271830700e+000
1.45000000000000e+003	9.09444894253693e-006,1.99645134829467e+000
1.46000000000000e+003	9.22032217062204e-006,2.01021997828233e+000
1.47000000000000e+003	9.34706050754513e-006,2.02398860826998e+000
1.48000000000000e+003	9.47466395330877e-006,2.03775723825762e+000
1.49000000000000e+003	9.60313250685096e-006,2.05152586824525e+000
1.50000000000000e+003	9.73246616870959e-006,2.06529449823286e+000
1.51000000000000e+003	9.86266493889093e-006,2.07906312822046e+000
1.52000000000000e+003	9.99372881544847e-006,2.09283175820805e+000
1.53000000000000e+003	1.01256578014107e-005,2.10660038819563e+000
1.54000000000000e+003	1.02584518951889e-005,2.12036901818319e+000
1.55000000000000e+003	1.03921110976824e-005,2.13413764817074e+000
1.56000000000000e+003	1.05266354073048e-005,2.14790627815828e+000
1.57000000000000e+003	1.06620248258462e-005,2.16167490814581e+000
1.58000000000000e+003	1.07982793527884e-005,2.17544353813332e+000
1.59000000000000e+003	1.09353989865490e-005,2.18921216812082e+000
1.60000000000000e+003	1.10733837290991e-005,2.20298079810831e+000
1.61000000000000e+003	1.12122335801021e-005,2.21674942809579e+000
1.62000000000000e+003	1.13519485394001e-005,2.23051805808325e+000
1.63000000000000e+003	1.14925286059483e-005,2.24428668807070e+000
1.64000000000000e+003	1.16339737803018e-005,2.25805531805813e+000
1.65000000000000e+003	1.17762840637276e-005,2.27182394804555e+000
1.66000000000000e+003	1.19194594553622e-005,2.28559257803296e+000
1.67000000000000e+003	1.20634999550539e-005,2.29936120802036e+000
1.68000000000000e+003	1.22084055614087e-005,2.31312983800774e+000
1.69000000000000e+003	1.23541762765867e-005,2.32689846799510e+000
1.70000000000000e+003	1.25008121009728e-005,2.34066709798246e+000
1.71000000000000e+003	1.26483130317556e-005,2.35443572796980e+000
1.72000000000000e+003	1.27966790718094e-005,2.36820435795712e+000
1.73000000000000e+003	1.29459102209899e-005,2.38197298794443e+000
1.74000000000000e+003	1.30960064757789e-005,2.39574161793173e+000
1.75000000000000e+003	1.32469678408307e-005,2.40951024791902e+000
1.76000000000000e+003	1.33987943128071e-005,2.42327887790629e+000
1.77000000000000e+003	1.35514858931677e-005,2.43704750789354e+000
1.78000000000000e+003	1.37050425821293e-005,2.45081613788078e+000
1.79000000000000e+003	1.38594643781340e-005,2.46458476786801e+000
1.80000000000000e+003	1.40147512826449e-005,2.47835339785522e+000
1.81000000000000e+003	1.41709032946391e-005,2.49212202784241e+000
1.82000000000000e+003	1.43279204164705e-005,2.50589065782960e+000
1.83000000000000e+003	1.44858026444541e-005,2.51965928781676e+000
1.84000000000000e+003	1.46445499820121e-005,2.53342791780392e+000
1.85000000000000e+003	1.48041624283041e-005,2.54719654779105e+000
1.86000000000000e+003	1.49646399808927e-005,2.56096517777818e+000
1.87000000000000e+003	1.51259826424930e-005,2.57473380776528e+000
1.88000000000000e+003	1.52881904117355e-005,2.58850243775237e+000
1.89000000000000e+003	1.54512632897390e-005,2.60227106773945e+000
1.90000000000000e+003	1.56152012751368e-005,2.61603969772651e+000
1.91000000000000e+003	1.57800043681620e-005,2.62980832771356e+000
1.92000000000000e+003	1.59456725699368e-005,2.64357695770059e+000
1.93000000000000e+003	1.61122058796313e-005,2.65734558768760e+000
1.94000000000000e+003	1.62796042985478e-005,2.67111421767460e+000
1.95000000000000e+003	1.64478678249705e-005,2.68488284766158e+000
1.96000000000000e+003	1.66169964584279e-005,2.69865147764855e+000
1.97000000000000e+003	1.67869902012923e-005,2.71242010763550e+000
1.98000000000000e+003	1.69578490520289e-005,2.72618873762243e+000
1.99000000000000e+003	1.71295730105255e-005,2.73995736760935e+000
2.00000000000000e+003	1.73021620763155e-005,2.75372599759625e+000
2.01000000000000e+003	1.74756162510655e-005,2.76749462758314e+000
2.02000000000000e+003	1.76499355355550e-005,2.78126325757001e+000
2.03000000000000e+003	1.78251199248804e-005,2.79503188755686e+000
2.04000000000000e+003	1.80011694251528e-005,2.80880051754370e+000
2.05000000000000e+003	1.81780840316486e-005,2.82256914753052e+000
2.06000000000000e+003	1.83558637478169e-005,2.83633777751732e+000
2.07000000000000e+003	1.85345085712459e-005,2.85010640750411e+000
2.08000000000000e+003	1.87140185025448e-005,2.86387503749088e+000
2.09000000000000e+003	1.88943935432123e-005,2.87764366747763e+000
2.10000000000000e+003	1.90756336895968e-005,2.89141229746437e+000
2.11000000000000e+003	1.92577389455088e-005,2.90518092745108e+000
2.12000000000000e+003	1.94407093092533e-005,2.91894955743779e+000
2.13000000000000e+003	1.96245447818008e-005,2.93271818742447e+000
2.14000000000000e+003	1.98092453614587e-005,2.94648681741114e+000
2.15000000000000e+003	1.99948110499108e-005,2.96025544739779e+000
2.16000000000000e+003	2.01812418472433e-005,2.97402407738442e+000
2.17000000000000e+003	2.03685377510566e-005,2.98779270737103e+000
2.18000000000000e+003	2.05566987646369e-005,3.00156133735763e+000
2.19000000000000e+003	2.07457248841660e-005,3.01532996734420e+000
2.20000000000000e+003	2.09356161136432e-005,3.02909859733077e+000
2.21000000000000e+003	2.11263724504961e-005,3.04286722731731e+000
2.22000000000000e+003	2.13179938953513e-005,3.05663585730383e+000
2.23000000000000e+003	2.15104804491917e-005,3.07040448729034e+000
2.24000000000000e+003	2.17038321090936e-005,3.08417311727683e+000
2.25000000000000e+003	2.18980488783517e-005,3.09794174726330e+000
2.26000000000000e+003	2.20931307568869e-005,3.11171037724975e+000
2.27000000000000e+003	2.22890777414238e-005,3.12547900723618e+000
2.28000000000000e+003	2.24858898354384e-005,3.13924763722260e+000
2.29000000000000e+003	2.26835670367236e-005,3.15301626720900e+000
2.30000000000000e+003	2.28821093471593e-005,3.16678489719537e+000
2.31000000000000e+003	2.30815167648961e-005,3.18055352718173e+000
2.32000000000000e+003	2.32817892912833e-005,3.19432215716807e+000
2.33000000000000e+003	2.34829269241187e-005,3.20809078715439e+000
2.34000000000000e+003	2.36849296667081e-005,3.22185941714070e+000
2.35000000000000e+003	2.38877975179178e-005,3.23562804712698e+000
2.36000000000000e+003	2.40915304757267e-005,3.24939667711324e+000
2.37000000000000e+003	2.42961285429115e-005,3.26316530709949e+000
2.38000000000000e+003	2.45015917169208e-005,3.27693393708571e+000
2.39000000000000e+003	2.47079200001785e-005,3.29070256707192e+000
2.40000000000000e+003	2.49151133912016e-005,3.30447119705810e+000
2.41000000000000e+003	2.51231718895740e-005,3.31823982704427e+000
2.42000000000000e+003	2.53320954963022e-005,3.33200845703042e+000
2.43000000000000e+003	2.55418842131042e-005,3.34577708701654e+000
2.44000000000000e+003	2.57525380349492e-005,3.35954571700265e+000
2.45000000000000e+003	2.59640569667553e-005,3.37331434698874e+000
2.46000000000000e+003	2.61764410056258e-005,3.38708297697481e+000
2.47000000000000e+003	2.63896901539943e-005,3.40085160696086e+000
2.48000000000000e+003	2.66038044100323e-005,3.41462023694688e+000
2.49000000000000e+003	2.68187837726231e-005,3.42838886693289e+000
2.50000000000000e+003	2.70346282452698e-005,3.44215749691888e+000
2.51000000000000e+003	2.72513378247267e-005,3.45592612690485e+000
2.52000000000000e+003	2.74689125127229e-005,3.46969475689079e+000
2.53000000000000e+003	2.76873523081466e-005,3.48346338687672e+000
2.54000000000000e+003	2.79066572130848e-005,3.49723201686262e+000
2.55000000000000e+003	2.81268272254803e-005,3.51100064684851e+000
2.56000000000000e+003	2.83478623451343e-005,3.52476927683437e+000
2.57000000000000e+003	2.85697625761121e-005,3.53853790682021e+000
2.58000000000000e+003	2.87925279105325e-005,3.55230653680603e+000
2.59000000000000e+003	2.90161583555679e-005,3.56607516679183e+000
2.60000000000000e+003	2.92406539097969e-005,3.57984379677761e+000
2.61000000000000e+003	2.94660145710470e-005,3.59361242676337e+000
2.62000000000000e+003	2.96922403385746e-005,3.60738105674911e+000
2.63000000000000e+003	2.99193312160281e-005,3.62114968673483e+000
2.64000000000000e+003	3.01472872015868e-005,3.63491831672052e+000
2.65000000000000e+003	3.03761082963599e-005,3.64868694670619e+000
2.66000000000000e+003	3.06057944977620e-005,3.66245557669184e+000
2.67000000000000e+003	3.08363458065216e-005,3.67622420667747e+000
2.68000000000000e+003	3.10677622252474e-005,3.68999283666308e+000
2.69000000000000e+003	3.13000437498323e-005,3.70376146664867e+000
2.70000000000000e+003	3.15331903836413e-005,3.71753009663423e+000
2.71000000000000e+003	3.17672021259308e-005,3.73129872661977e+000
2.72000000000000e+003	3.20020789774638e-005,3.74506735660529e+000
2.73000000000000e+003	3.22378209359677e-005,3.75883598659079e+000
2.74000000000000e+003	3.24744280018123e-005,3.77260461657626e+000
2.75000000000000e+003	3.27119001761402e-005,3.78637324656172e+000
2.76000000000000e+003	3.29502374589555e-005,3.80014187654715e+000
2.77000000000000e+003	3.31894398483302e-005,3.81391050653256e+000
2.78000000000000e+003	3.34295073485137e-005,3.82767913651794e+000
2.79000000000000e+003	3.36704399552538e-005,3.84144776650330e+000
2.80000000000000e+003	3.39122376693151e-005,3.85521639648864e+000
2.81000000000000e+003	3.41549004918651e-005,3.86898502647396e+000
2.82000000000000e+003	3.43984284248753e-005,3.88275365645926e+000
2.83000000000000e+003	3.46428214636328e-005,3.89652228644453e+000
2.84000000000000e+003	3.48880796100937e-005,3.91029091642978e+000
2.85000000000000e+003	3.51342028666394e-005,3.92405954641500e+000
2.86000000000000e+003	3.53811912304978e-005,3.93782817640020e+000
2.87000000000000e+003	3.56290447028618e-005,3.95159680638538e+000
2.88000000000000e+003	3.58777632813247e-005,3.96536543637054e+000
2.89000000000000e+003	3.61273469686879e-005,3.97913406635567e+000
2.90000000000000e+003	3.63777957669828e-005,3.99290269634078e+000
2.91000000000000e+003	3.66291096717729e-005,4.00667132632586e+000
2.92000000000000e+003	3.68812886810044e-005,4.02043995631092e+000
2.93000000000000e+003	3.71343328019977e-005,4.03420858629596e+000
2.94000000000000e+003	3.73882420294583e-005,4.04797721628097e+000
2.95000000000000e+003	3.76430163666618e-005,4.06174584626596e+000
2.96000000000000e+003	3.78986558115603e-005,4.07551447625093e+000
2.97000000000000e+003	3.81551603645639e-005,4.08928310623587e+000
2.98000000000000e+003	3.84125300244253e-005,4.10305173622078e+000
2.99000000000000e+003	3.86707647948863e-005,4.11682036620568e+000
3.00000000000000e+003	3.89298646717867e-005,4.13058899619054e+000
3.01000000000000e+003	3.91898296572093e-005,4.14435762617539e+000
3.02000000000000e+003	3.94506597494730e-005,4.15812625616021e+000
3.03000000000000e+003	3.97123549519470e-005,4.17189488614500e+000
3.04000000000000e+003	3.99749152616835e-005,4.18566351612977e+000
3.05000000000000e+003	4.02383406778230e-005,4.19943214611451e+000
3.06000000000000e+003	4.05026312046179e-005,4.21320077609923e+000
3.07000000000000e+003	4.07677868378102e-005,4.22696940608393e+000
3.08000000000000e+003	4.10338075799613e-005,4.24073803606860e+000
3.09000000000000e+003	4.13006934284932e-005,4.25450666605324e+000
3.10000000000000e+003	4.15684443872815e-005,4.26827529603787e+000
3.11000000000000e+003	4.18370604546114e-005,4.28204392602246e+000
3.12000000000000e+003	4.21065416274404e-005,4.29581255600703e+000
3.13000000000000e+003	4.23768879105466e-005,4.30958118599157e+000
3.14000000000000e+003	4.26480993021988e-005,4.32334981597609e+000
3.15000000000000e+003	4.29201757993247e-005,4.33711844596058e+000
3.16000000000000e+003	4.31931174058671e-005,4.35088707594505e+000
3.17000000000000e+003	4.34669241209541e-005,4.36465570592949e+000
3.18000000000000e+003	4.37415959441461e-005,4.37842433591391e+000
3.19000000000000e+003	4.40171328749981e-005,4.39219296589830e+000
3.20000000000000e+003	4.42935349143988e-005,4.40596159588266e+000
3.21000000000000e+003	4.45708020628002e-005,4.41973022586699e+000
3.22000000000000e+003	4.48489343161675e-005,4.43349885585131e+000
3.23000000000000e+003	4.51279316816816e-005,4.44726748583559e+000
3.24000000000000e+003	4.54077941521477e-005,4.46103611581985e+000
3.25000000000000e+003	4.56885217325242e-005,4.47480474580408e+000
3.26000000000000e+003	4.59701144191892e-005,4.48857337578829e+000
3.27000000000000e+003	4.62525722148632e-005,4.50234200577247e+000
3.28000000000000e+003	4.65358951195548e-005,4.51611063575662e+000
3.29000000000000e+003	4.68200831305180e-005,4.52987926574074e+000
3.30000000000000e+003	4.71051362514196e-005,4.54364789572484e+000
3.31000000000000e+003	4.73910544795053e-005,4.55741652570892e+000
3.32000000000000e+003	4.76778378161564e-005,4.57118515569296e+000
3.33000000000000e+003	4.79654862613770e-005,4.58495378567698e+000
3.34000000000000e+003	4.82539998119097e-005,4.59872241566097e+000
3.35000000000000e+003	4.85433784742723e-005,4.61249104564493e+000
3.36000000000000e+003	4.88336222438108e-005,4.62625967562887e+000
3.37000000000000e+003	4.91247311195764e-005,4.64002830561278e+000
3.38000000000000e+003	4.94167051053247e-005,4.65379693559666e+000
3.39000000000000e+003	4.97095441982350e-005,4.66756556558051e+000
3.40000000000000e+003	5.00032483982987e-005,4.68133419556434e+000
3.41000000000000e+003	5.02978177064591e-005,4.69510282554814e+000
3.42000000000000e+003	5.05932521255789e-005,4.70887145553191e+000
3.43000000000000e+003	5.08895516504193e-005,4.72264008551565e+000
3.44000000000000e+003	5.11867162852788e-005,4.73640871549936e+000
3.45000000000000e+003	5.14847460272862e-005,4.75017734548305e+000
3.46000000000000e+003	5.17836408759505e-005,4.76394597546671e+000
3.47000000000000e+003	5.20834008346477e-005,4.77771460545034e+000
3.48000000000000e+003	5.23840258985396e-005,4.79148323543394e+000
3.49000000000000e+003	5.26855160734440e-005,4.80525186541751e+000
3.50000000000000e+003	5.29878713559677e-005,4.81902049540106e+000
3.51000000000000e+003	5.32910917475759e-005,4.83278912538457e+000
3.52000000000000e+003	5.35951772448390e-005,4.84655775536806e+000
3.53000000000000e+003	5.39001278531536e-005,4.86032638535152e+000
3.54000000000000e+003	5.42059435656306e-005,4.87409501533496e+000
3.55000000000000e+003	5.45126243911511e-005,4.88786364531835e+000
3.56000000000000e+003	5.48201703213139e-005,4.90163227530173e+000
3.57000000000000e+003	5.51285813580818e-005,4.91540090528507e+000
3.58000000000000e+003	5.54378575054380e-005,4.92916953526839e+000
3.59000000000000e+003	5.57479987608990e-005,4.94293816525167e+000
3.60000000000000e+003	5.60590051254696e-005,4.95670679523492e+000
3.61000000000000e+003	5.63708765956322e-005,4.97047542521815e+000
3.62000000000000e+003	5.66836131759117e-005,4.98424405520135e+000
3.63000000000000e+003	5.69972148637924e-005,4.99801268518452e+000
3.64000000000000e+003	5.73116816582545e-005,5.01178131516766e+000
3.65000000000000e+003	5.76270135623408e-005,5.02554994515076e+000
3.66000000000000e+003	5.79432105745319e-005,5.03931857513384e+000
3.67000000000000e+003	5.82602726963640e-005,5.05308720511689e+000
3.68000000000000e+003	5.85781999237423e-005,5.06685583509991e+000
3.69000000000000e+003	5.88969922597346e-005,5.08062446508290e+000
3.70000000000000e+003	5.92166497027967e-005,5.09439309506586e+000
3.71000000000000e+003	5.95371722555080e-005,5.10816172504879e+000
3.72000000000000e+003	5.98585599173621e-005,5.12193035503169e+000
3.73000000000000e+003	6.01808126852451e-005,5.13569898501456e+000
3.74000000000000e+003	6.05039305627928e-005,5.14946761499739e+000
3.75000000000000e+003	6.08279135458322e-005,5.16323624498020e+000
3.76000000000000e+003	6.11527616390637e-005,5.17700487496298e+000
3.77000000000000e+003	6.14784748414519e-005,5.19077350494572e+000
3.78000000000000e+003	6.18050531482589e-005,5.20454213492844e+000
3.79000000000000e+003	6.21324965658007e-005,5.21831076491112e+000
3.80000000000000e+003	6.24608050914472e-005,5.23207939489378e+000
3.81000000000000e+003	6.27899787251986e-005,5.24584802487640e+000
3.82000000000000e+003	6.31200174638572e-005,5.25961665485899e+000
3.83000000000000e+003	6.34509213164815e-005,5.27338528484155e+000
3.84000000000000e+003	6.37826902729388e-005,5.28715391482408e+000
3.85000000000000e+003	6.41153243380296e-005,5.30092254480658e+000
3.86000000000000e+003	6.44488235139123e-005,5.31469117478904e+000
3.87000000000000e+003	6.47831877957484e-005,5.32845980477148e+000
3.88000000000000e+003	6.51184171867692e-005,5.34222843475388e+000
3.89000000000000e+003	6.54545116848122e-005,5.35599706473625e+000
3.90000000000000e+003	6.57914712871484e-005,5.36976569471859e+000
3.91000000000000e+003	6.61292960057497e-005,5.38353432470090e+000
3.92000000000000e+003	6.64679858302876e-005,5.39730295468318e+000
3.93000000000000e+003	6.68075407558109e-005,5.41107158466542e+000
3.94000000000000e+003	6.71479607965570e-005,5.42484021464763e+000
3.95000000000000e+003	6.74892459437631e-005,5.43860884462981e+000
3.96000000000000e+003	6.78313961982452e-005,5.45237747461196e+000
3.97000000000000e+003	6.81744115613817e-005,5.46614610459408e+000
3.98000000000000e+003	6.85182920337321e-005,5.47991473457616e+000
3.99000000000000e+003	6.88630376144698e-005,5.49368336455821e+000
4.00000000000000e+003	6.92086482988534e-005,5.50745199454023e+000
4.01000000000000e+003	6.95551240966397e-005,5.52122062452222e+000
4.02000000000000e+003	6.99024649988951e-005,5.53498925450417e+000
4.03000000000000e+003	7.02506710106525e-005,5.54875788448609e+000
4.04000000000000e+003	7.05997421296677e-005,5.56252651446798e+000
4.05000000000000e+003	7.09496783584772e-005,5.57629514444983e+000
4.06000000000000e+003	7.13004796965271e-005,5.59006377443165e+000
4.07000000000000e+003	7.16521461384314e-005,5.60383240441344e+000
4.08000000000000e+003	7.20046776935508e-005,5.61760103439520e+000
4.09000000000000e+003	7.23580743533639e-005,5.63136966437692e+000
4.10000000000000e+003	7.27123361187034e-005,5.64513829435861e+000
4.11000000000000e+003	7.30674629967181e-005,5.65890692434026e+000
4.12000000000000e+003	7.34234549808313e-005,5.67267555432188e+000
4.13000000000000e+003	7.37803120721808e-005,5.68644418430347e+000
4.14000000000000e+003	7.41380342733594e-005,5.70021281428503e+000
4.15000000000000e+003	7.44966215835109e-005,5.71398144426655e+000
4.16000000000000e+003	7.48560740009011e-005,5.72775007424804e+000
4.17000000000000e+003	7.52163915243594e-005,5.74151870422949e+000
4.18000000000000e+003	7.55775741567876e-005,5.75528733421091e+000
4.19000000000000e+003	7.59396218987762e-005,5.76905596419229e+000
4.20000000000000e+003	7.63025347471130e-005,5.78282459417364e+000
4.21000000000000e+003	7.66663127076591e-005,5.79659322415496e+000
4.22000000000000e+003	7.70309557733786e-005,5.81036185413624e+000
