Freq.	mag((V(n007)-V(n002))/V(n006))
1.51236036036036e+004	1.25281711046761e+001,0.00000000000000e+000
1.52236936936937e+004	1.25736380364897e+001,0.00000000000000e+000
1.53237837837838e+004	1.26187175448822e+001,0.00000000000000e+000
1.54238738738739e+004	1.26634131811202e+001,0.00000000000000e+000
1.55239639639640e+004	1.27077284840743e+001,0.00000000000000e+000
1.56240540540541e+004	1.27516669795138e+001,0.00000000000000e+000
1.57241441441442e+004	1.27952321794317e+001,0.00000000000000e+000
1.58242342342343e+004	1.28384275813982e+001,0.00000000000000e+000
1.59243243243243e+004	1.28812566679428e+001,0.00000000000000e+000
1.60244144144144e+004	1.29237229059637e+001,0.00000000000000e+000
1.61245045045045e+004	1.29658297461645e+001,0.00000000000000e+000
1.62245945945946e+004	1.30075806225165e+001,0.00000000000000e+000
1.63246846846847e+004	1.30489789517473e+001,0.00000000000000e+000
1.64247747747748e+004	1.30900281328535e+001,0.00000000000000e+000
1.65248648648649e+004	1.31307315466381e+001,0.00000000000000e+000
1.66249549549550e+004	1.31710925552717e+001,0.00000000000000e+000
1.67250450450451e+004	1.32111145018757e+001,0.00000000000000e+000
1.68251351351352e+004	1.32508007101288e+001,0.00000000000000e+000
1.69252252252252e+004	1.32901544838947e+001,0.00000000000000e+000
1.70253153153153e+004	1.33291791068706e+001,0.00000000000000e+000
1.71254054054054e+004	1.33678778422568e+001,0.00000000000000e+000
1.72254954954955e+004	1.34062539324456e+001,0.00000000000000e+000
1.73255855855856e+004	1.34443105987296e+001,0.00000000000000e+000
1.74256756756757e+004	1.34820510410290e+001,0.00000000000000e+000
1.75257657657658e+004	1.35194784376366e+001,0.00000000000000e+000
1.76258558558559e+004	1.35565959449805e+001,0.00000000000000e+000
1.77259459459460e+004	1.35934066974040e+001,0.00000000000000e+000
1.78260360360360e+004	1.36299138069619e+001,0.00000000000000e+000
1.79261261261261e+004	1.36661203632325e+001,0.00000000000000e+000
1.80262162162162e+004	1.37020294331458e+001,0.00000000000000e+000
1.81263063063063e+004	1.37376440608254e+001,0.00000000000000e+000
1.82263963963964e+004	1.37729672674464e+001,0.00000000000000e+000
1.83264864864865e+004	1.38080020511059e+001,0.00000000000000e+000
1.84265765765766e+004	1.38427513867079e+001,0.00000000000000e+000
1.85266666666667e+004	1.38772182258610e+001,0.00000000000000e+000
1.86267567567568e+004	1.39114054967883e+001,0.00000000000000e+000
1.87268468468468e+004	1.39453161042504e+001,0.00000000000000e+000
1.88269369369369e+004	1.39789529294788e+001,0.00000000000000e+000
1.89270270270270e+004	1.40123188301220e+001,0.00000000000000e+000
1.90271171171171e+004	1.40454166402016e+001,0.00000000000000e+000
