time	V(vin)	V(vout)	I(L1)
1.853667889679823e-003	5.000000e+000	4.999999e+000	-5.105992e-010
1.912130155567914e-003	5.000000e+000	5.000000e+000	4.220959e-011
5.000001002201119e-003	4.988995e+000	5.000000e+000	4.330467e-013
5.000001144743816e-003	4.276281e+000	5.000000e+000	7.200560e-010
5.000001287286514e-003	3.563568e+000	5.000000e+000	2.392639e-009
5.000001429829211e-003	2.850854e+000	5.000000e+000	5.018183e-009
5.000001572371908e-003	2.138141e+000	5.000000e+000	8.596686e-009
5.000001714914605e-003	1.425427e+000	5.000000e+000	1.312815e-008
5.000001857457303e-003	7.127135e-001	5.000000e+000	1.861257e-008
5.000002000000000e-003	0.000000e+000	5.000000e+000	2.504996e-008
5.001049750101576e-003	0.000000e+000	4.999629e+000	5.172141e-005
5.002097500203153e-003	0.000000e+000	4.998637e+000	1.022057e-004
5.003145250304729e-003	0.000000e+000	4.997026e+000	1.514780e-004
5.004193000406305e-003	0.000000e+000	4.994795e+000	1.995383e-004
5.005240750507881e-003	0.000000e+000	4.991944e+000	2.463865e-004
5.006288500609458e-003	0.000000e+000	4.988472e+000	2.920226e-004
5.007336250711034e-003	0.000000e+000	4.984381e+000	3.364468e-004
5.014670529400120e-003	0.000000e+000	4.941848e+000	6.183592e-004
5.029339086778292e-003	0.000000e+000	4.802460e+000	1.063199e-003
5.051071483251244e-003	0.000000e+000	4.510764e+000	1.514909e-003
5.074766772450614e-003	0.000000e+000	4.116754e+000	1.782751e-003
5.102145468519775e-003	0.000000e+000	3.613765e+000	1.878955e-003
5.130960229612571e-003	0.000000e+000	3.079995e+000	1.826610e-003
5.160257104612571e-003	0.000000e+000	2.566765e+000	1.677990e-003
5.189553979612571e-003	0.000000e+000	2.103800e+000	1.482520e-003
5.218850854612571e-003	0.000000e+000	1.700179e+000	1.272864e-003
5.248147729612572e-003	0.000000e+000	1.357141e+000	1.068941e-003
5.277444604612572e-003	0.000000e+000	1.071393e+000	8.817627e-004
5.306741479612572e-003	0.000000e+000	8.372704e-001	7.165179e-004
5.336038354612572e-003	0.000000e+000	6.481234e-001	5.747254e-004
5.365335229612573e-003	0.000000e+000	4.971814e-001	4.557049e-004
5.394632104612573e-003	0.000000e+000	3.780503e-001	3.575634e-004
5.423928979612573e-003	0.000000e+000	2.849736e-001	2.778402e-004
5.453225854612573e-003	0.000000e+000	2.129396e-001	2.139120e-004
5.482522729612574e-003	0.000000e+000	1.576933e-001	1.632359e-004
5.511819604612574e-003	0.000000e+000	1.156934e-001	1.234831e-004
5.541116479612574e-003	0.000000e+000	8.404057e-002	9.260051e-005
5.570413354612574e-003	0.000000e+000	6.039371e-002	6.882880e-005
5.599710229612575e-003	0.000000e+000	4.288572e-002	5.069242e-005
5.629007104612575e-003	0.000000e+000	3.004372e-002	3.697563e-005
5.658303979612575e-003	0.000000e+000	2.071748e-002	2.669149e-005
5.687600854612575e-003	0.000000e+000	1.401721e-002	1.904905e-005
5.716897729612576e-003	0.000000e+000	9.260755e-003	1.342165e-005
5.746194604612576e-003	0.000000e+000	5.929762e-003	9.317931e-006
5.775491479612576e-003	0.000000e+000	3.633724e-003	6.356358e-006
5.804788354612576e-003	0.000000e+000	2.073591e-003	4.234360e-006
5.832106534663199e-003	0.000000e+000	1.086546e-003	2.807742e-006
5.853772197296405e-003	0.000000e+000	5.480741e-004	1.974973e-006
5.871565187930353e-003	0.000000e+000	2.353395e-004	1.455093e-006
5.887671860817771e-003	0.000000e+000	2.907721e-005	1.085452e-006
5.903868089640780e-003	0.000000e+000	-1.230187e-004	7.890055e-007
5.919497483312925e-003	0.000000e+000	-2.265934e-004	5.639969e-007
5.940281592049156e-003	0.000000e+000	-3.157705e-004	3.364106e-007
5.963204673684706e-003	0.000000e+000	-3.728044e-004	1.493454e-007
5.979804995850716e-003	0.000000e+000	-3.923564e-004	4.929265e-008
5.990544294028911e-003	0.000000e+000	-3.954666e-004	1.188033e-009
6.005241787707951e-003	0.000000e+000	-3.914403e-004	-4.898747e-008
6.019542903194000e-003	0.000000e+000	-3.813305e-004	-8.477112e-008
6.042028612150953e-003	0.000000e+000	-3.572349e-004	-1.216296e-007
6.064041689431519e-003	0.000000e+000	-3.281380e-004	-1.412769e-007
6.092864020626959e-003	0.000000e+000	-2.860271e-004	-1.491999e-007
6.120503221756822e-003	0.000000e+000	-2.453631e-004	-1.453301e-007
6.149800096756822e-003	0.000000e+000	-2.045538e-004	-1.335221e-007
6.170726436042536e-003	0.000000e+000	-1.778662e-004	-1.216136e-007
6.191652775328251e-003	0.000000e+000	-1.535146e-004	-1.100367e-007
6.212579114613965e-003	0.000000e+000	-1.314990e-004	-9.879129e-008
