Freq.	V(vout)
3.90000000000000e+002	(5.06046865746761e+000dB,-6.90137100031353e+001°)
4.00000000000000e+002	(4.84281727704396e+000dB,-6.95566142177701e+001°)
4.10000000000000e+002	(4.62770513113033e+000dB,-7.00781726524555e+001°)
4.20000000000000e+002	(4.41503518061296e+000dB,-7.05796411198086e+001°)
4.30000000000000e+002	(4.20471112239348e+000dB,-7.10621841840315e+001°)
4.40000000000000e+002	(3.99663771081125e+000dB,-7.15268827482695e+001°)
4.50000000000000e+002	(3.79072100451438e+000dB,-7.19747409660247e+001°)
4.60000000000000e+002	(3.58686855169798e+000dB,-7.24066925356049e+001°)
4.70000000000000e+002	(3.38498952447110e+000dB,-7.28236064326294e+001°)
4.80000000000000e+002	(3.18499481131226e+000dB,-7.32262921315219e+001°)
4.90000000000000e+002	(2.98679707507092e+000dB,-7.36155043628538e+001°)
5.00000000000000e+002	(2.79031078271759e+000dB,-7.39919474494566e+001°)
5.10000000000000e+002	(2.59545221199872e+000dB,-7.43562792604701e+001°)
5.20000000000000e+002	(2.40213943927846e+000dB,-7.47091148189609e+001°)
5.30000000000000e+002	(2.21029231211983e+000dB,-7.50510295954668e+001°)
5.40000000000000e+002	(2.01983240954846e+000dB,-7.53825625167921e+001°)
5.50000000000000e+002	(1.83068299243266e+000dB,-7.57042187165976e+001°)
5.60000000000000e+002	(1.64276894598771e+000dB,-7.60164720517903e+001°)
5.70000000000000e+002	(1.45601671605627e+000dB,-7.63197674064077e+001°)
5.80000000000000e+002	(1.27035424051844e+000dB,-7.66145228025922e+001°)
5.90000000000000e+002	(1.08571087693548e+000dB,-7.69011313363567e+001°)
6.00000000000000e+002	(9.02017327321736e-001dB,-7.71799629541232e+001°)
6.10000000000000e+002	(7.19205560763677e-001dB,-7.74513660844701e+001°)
6.20000000000000e+002	(5.37208734457649e-001dB,-7.77156691381286e+001°)
6.30000000000000e+002	(3.55961113613526e-001dB,-7.79731818880096e+001°)
6.40000000000000e+002	(1.75397990567155e-001dB,-7.82241967399104e+001°)
6.50000000000000e+002	(-4.54439664382944e-003dB,-7.84689899035334e+001°)
6.60000000000000e+002	(-1.83928946061207e-001dB,-7.87078224725297e+001°)
6.70000000000000e+002	(-3.62817773828029e-001dB,-7.89409414214548e+001°)
6.80000000000000e+002	(-5.41272296389281e-001dB,-7.91685805267822e+001°)
6.90000000000000e+002	(-7.19353312856065e-001dB,-7.93909612184504e+001°)
7.00000000000000e+002	(-8.97121087558315e-001dB,-7.96082933678165e+001°)
7.10000000000000e+002	(-1.07463543284660e+000dB,-7.98207760173470e+001°)
7.20000000000000e+002	(-1.25195579223447e+000dB,-8.00285980568871e+001°)
7.30000000000000e+002	(-1.42914132400135e+000dB,-8.02319388509085e+001°)
7.40000000000000e+002	(-1.60625098540100e+000dB,-8.04309688207375e+001°)
7.50000000000000e+002	(-1.78334361764499e+000dB,-8.06258499854075e+001°)
7.60000000000000e+002	(-1.96047803185265e+000dB,-8.08167364644513e+001°)
7.70000000000000e+002	(-2.13771309618128e+000dB,-8.10037749456617e+001°)
7.80000000000000e+002	(-2.31510782437195e+000dB,-8.11871051205761e+001°)
